Query ID	Predicted EC number
B446_RS05770	EC:3.6.3.29
B446_RS05890	EC:5.3.1.5
B446_RS05895	EC:2.7.1.17
B446_RS05925	EC:1.2.1.3
B446_RS06210	EC:6.5.1.1
B446_RS06220	EC:1.2.1.79
B446_RS06255	EC:3.5.1.88
B446_RS06270	EC:2.7.1.11
B446_RS06295	EC:2.6.1.11
B446_RS06370	EC:3.5.1.5
B446_RS06375	EC:3.5.1.5
B446_RS06380	EC:3.5.1.5
B446_RS06425	EC:2.3.1.47
B446_RS06430	EC:2.8.1.6
B446_RS06435	EC:2.6.1.62
B446_RS06440	EC:6.3.3.3
B446_RS06510	EC:3.6.3.41
B446_RS06580	EC:4.4.1.11
B446_RS06630	EC:3.6.4.12
B446_RS06805	EC:3.6.1.27
B446_RS06845	EC:3.2.2.27
B446_RS07000	EC:3.6.3.25
B446_RS07000	EC:3.6.3.29
B446_RS07010	EC:1.4.4.2
B446_RS07020	EC:2.7.7.7
B446_RS07065	EC:2.7.8.5
B446_RS07090	EC:2.7.3.9
B446_RS07135	EC:2.7.1.30
B446_RS07280	EC:2.4.1.83
B446_RS07315	EC:1.3.8.1
B446_RS07320	EC:3.2.1.14
B446_RS07370	EC:2.4.2.17
B446_RS07375	EC:3.6.1.31
B446_RS07380	EC:2.5.1.78
B446_RS07385	EC:3.5.4.25
B446_RS07385	EC:4.1.99.12
B446_RS07395	EC:2.5.1.9
B446_RS07465	EC:3.6.3.31
B446_RS07520	EC:5.1.3.1
B446_RS07530	EC:2.1.2.9
B446_RS07545	EC:2.5.1.6
B446_RS07555	EC:2.7.7.6
B446_RS07560	EC:2.7.4.8
B446_RS07570	EC:4.1.1.23
B446_RS07575	EC:1.3.5.2
B446_RS07585	EC:6.3.5.5
B446_RS07595	EC:3.5.2.3
B446_RS07600	EC:2.1.3.2
B446_RS07605	EC:2.4.2.9
B446_RS07635	EC:4.2.3.4
B446_RS07640	EC:2.7.1.71
B446_RS07645	EC:4.2.3.5
B446_RS07665	EC:6.1.1.7
B446_RS07700	EC:6.1.1.21
B446_RS07720	EC:2.7.6.5
B446_RS07730	EC:2.4.2.7
B446_RS07750	EC:3.6.4.12
B446_RS07755	EC:3.6.4.12
B446_RS07760	EC:3.1.22.4
B446_RS07770	EC:4.3.3.6
B446_RS07770	EC:3.5.1.2
B446_RS07775	EC:4.3.3.6
B446_RS07820	EC:6.1.1.3
B446_RS07935	EC:2.7.11.1
B446_RS07980	EC:3.1.3.71
B446_RS08030	EC:4.3.2.1
B446_RS08060	EC:2.7.13.3
B446_RS08120	EC:2.6.1.11
B446_RS08125	EC:2.7.2.8
B446_RS08130	EC:2.3.1.1
B446_RS08130	EC:2.3.1.35
B446_RS08135	EC:1.2.1.38
B446_RS08215	EC:6.1.1.20
B446_RS08220	EC:6.1.1.20
B446_RS08225	EC:2.7.13.3
B446_RS08290	EC:1.2.1.3
B446_RS08405	EC:5.2.1.8
B446_RS08410	EC:5.2.1.8
B446_RS08415	EC:6.3.1.19
B446_RS08440	EC:3.4.25.1
B446_RS08445	EC:3.4.25.1
B446_RS08525	EC:2.7.1.30
B446_RS08545	EC:6.3.1.13
B446_RS08780	EC:4.2.1.17
B446_RS08855	EC:1.13.11.5
B446_RS08905	EC:2.7.11.1
B446_RS08910	EC:3.1.1.3
B446_RS08940	EC:3.2.1.4
B446_RS08985	EC:3.1.1.3
B446_RS09080	EC:2.7.4.25
B446_RS09145	EC:6.3.4.2
B446_RS09180	EC:2.7.1.23
B446_RS09185	EC:2.1.1.226
B446_RS09330	EC:3.1.3.3
B446_RS09360	EC:1.3.1.9
B446_RS09390	EC:6.1.1.1
B446_RS09410	EC:4.1.99.22
B446_RS09525	EC:3.6.3.17
B446_RS09525	EC:3.6.3.41
B446_RS09590	EC:6.3.5.9
B446_RS09670	EC:2.6.1.76
B446_RS09675	EC:4.2.1.108
B446_RS09735	EC:4.2.1.9
B446_RS09775	EC:4.2.1.41
B446_RS09865	EC:4.3.3.7
B446_RS09900	EC:2.3.1.117
B446_RS09930	EC:2.8.1.7
B446_RS10000	EC:2.2.1.1
B446_RS10005	EC:2.2.1.2
B446_RS10010	EC:1.1.1.49
B446_RS10020	EC:3.1.1.31
B446_RS10080	EC:5.3.1.1
B446_RS10085	EC:2.7.2.3
B446_RS10090	EC:1.2.1.12
B446_RS10170	EC:4.2.1.10
B446_RS10200	EC:3.6.4.12
B446_RS10200	EC:3.6.4.13
B446_RS10225	EC:4.2.1.70
B446_RS10260	EC:1.4.1.13
B446_RS10340	EC:2.7.1.24
B446_RS10365	EC:3.6.4.12
B446_RS10455	EC:2.7.1.40
B446_RS10485	EC:3.4.11.2
B446_RS10570	EC:1.4.1.13
B446_RS10605	EC:2.7.1.15
B446_RS10630	EC:4.2.1.20
B446_RS10635	EC:4.2.1.20
B446_RS10645	EC:4.1.1.48
B446_RS10665	EC:4.1.3.27
B446_RS10670	EC:3.5.4.19
B446_RS10705	EC:5.3.1.16
B446_RS10705	EC:5.3.1.24
B446_RS10720	EC:4.2.1.19
B446_RS10725	EC:2.6.1.9
B446_RS10730	EC:1.1.1.23
B446_RS10795	EC:3.1.4.4
B446_RS10825	EC:3.4.23.36
B446_RS10840	EC:6.1.1.5
B446_RS10880	EC:2.4.1.227
B446_RS10890	EC:6.3.2.9
B446_RS10895	EC:2.7.8.13
B446_RS10900	EC:6.3.2.10
B446_RS10905	EC:6.3.2.13
B446_RS10920	EC:2.1.1.199
B446_RS10990	EC:1.5.1.20
B446_RS10995	EC:2.5.1.3
B446_RS11025	EC:2.8.1.10
B446_RS11030	EC:2.7.11.1
B446_RS11035	EC:3.1.21.2
B446_RS11045	EC:1.16.3.1
B446_RS11055	EC:2.5.1.54
B446_RS11065	EC:2.7.1.90
B446_RS11100	EC:2.7.1.2
B446_RS11125	EC:6.2.1.3
B446_RS11130	EC:1.1.3.6
B446_RS11190	EC:2.4.2.18
B446_RS11195	EC:1.10.2.2
B446_RS11210	EC:1.9.3.1
B446_RS11230	EC:1.9.3.1
B446_RS11235	EC:1.9.3.1
B446_RS11265	EC:2.5.1.72
B446_RS36975	EC:2.7.11.1
B446_RS11330	EC:2.4.2.21
B446_RS11350	EC:2.7.8.26
B446_RS11375	EC:3.4.11.1
B446_RS11375	EC:3.4.11.10
B446_RS11380	EC:1.8.1.4
B446_RS11445	EC:2.3.1.181
B446_RS11450	EC:2.8.1.8
B446_RS11470	EC:6.3.1.2
B446_RS11635	EC:3.2.1.1
B446_RS11670	EC:2.7.7.42
B446_RS11670	EC:2.7.7.89
B446_RS11675	EC:5.3.3.2
B446_RS11805	EC:2.1.2.11
B446_RS11810	EC:3.6.3.17
B446_RS12165	EC:3.6.3.17
B446_RS12165	EC:3.6.3.31
B446_RS12355	EC:1.2.4.1
B446_RS12420	EC:2.3.1.180
B446_RS12450	EC:3.2.1.21
B446_RS36435	EC:2.7.11.1
B446_RS12665	EC:3.6.3.17
B446_RS12765	EC:2.7.9.1
B446_RS12825	EC:3.2.1.14
B446_RS12835	EC:6.1.1.14
B446_RS12980	EC:2.7.13.3
B446_RS12995	EC:2.3.3.13
B446_RS13010	EC:3.2.1.21
B446_RS13095	EC:4.2.1.40
B446_RS13100	EC:4.2.1.41
B446_RS13115	EC:3.5.4.2
B446_RS13120	EC:3.1.26.11
B446_RS13150	EC:1.13.12.16
B446_RS13195	EC:3.6.5.n1
B446_RS13275	EC:2.3.1.179
B446_RS13355	EC:3.6.3.25
B446_RS13415	EC:2.7.7.24
B446_RS13420	EC:4.2.1.46
B446_RS13490	EC:6.1.1.4
B446_RS13540	EC:2.7.7.18
B446_RS13570	EC:1.2.1.41
B446_RS13580	EC:2.7.2.11
B446_RS13600	EC:2.7.7.60
B446_RS13805	EC:2.7.4.6
B446_RS13815	EC:6.3.2.17
B446_RS13820	EC:6.1.1.9
B446_RS13835	EC:3.4.21.92
B446_RS13840	EC:3.4.21.92
B446_RS13845	EC:5.2.1.8
B446_RS13890	EC:3.2.2.23
B446_RS13905	EC:2.7.11.1
B446_RS13945	EC:1.14.11.17
B446_RS13955	EC:1.15.1.1
B446_RS14020	EC:1.2.1.11
B446_RS14270	EC:1.14.18.1
B446_RS14400	EC:1.2.1.27
B446_RS14435	EC:2.3.1.183
B446_RS14465	EC:3.6.3.4
B446_RS14470	EC:2.3.3.16
B446_RS14485	EC:3.6.3.17
B446_RS14500	EC:5.4.99.62
B446_RS14515	EC:1.1.1.292
B446_RS14570	EC:3.5.3.11
B446_RS14610	EC:6.4.1.3
B446_RS14615	EC:6.4.1.4
B446_RS14680	EC:2.6.1.16
B446_RS14735	EC:3.2.1.21
B446_RS14745	EC:2.7.13.3
B446_RS14930	EC:3.1.3.5
B446_RS15085	EC:3.6.1.66
B446_RS15105	EC:1.11.1.15
B446_RS15155	EC:2.7.7.56
B446_RS15175	EC:3.1.26.11
B446_RS15280	EC:1.13.11.27
B446_RS15375	EC:3.6.4.12
B446_RS15455	EC:2.7.11.1
B446_RS15460	EC:2.7.11.1
B446_RS15625	EC:2.7.13.3
B446_RS15635	EC:5.3.1.23
B446_RS15695	EC:3.3.1.1
B446_RS15715	EC:5.4.2.3
B446_RS15755	EC:2.7.8.28
B446_RS15760	EC:6.3.2.31
B446_RS15760	EC:6.3.2.34
B446_RS15850	EC:3.4.13.19
B446_RS15860	EC:6.3.4.18
B446_RS15870	EC:2.7.13.3
B446_RS15925	EC:3.5.2.7
B446_RS15940	EC:4.2.1.49
B446_RS15985	EC:4.2.1.22
B446_RS16035	EC:2.1.1.79
B446_RS16060	EC:4.2.1.11
B446_RS16155	EC:3.6.1.31
B446_RS16200	EC:2.3.1.157
B446_RS16200	EC:2.7.7.23
B446_RS16205	EC:2.7.6.1
B446_RS16215	EC:3.1.1.29
B446_RS16225	EC:4.1.1.31
B446_RS16245	EC:2.1.1.144
B446_RS16270	EC:2.7.1.6
B446_RS16275	EC:5.1.3.2
B446_RS16280	EC:2.7.7.12
B446_RS16310	EC:3.6.3.41
B446_RS16320	EC:2.7.1.148
B446_RS16325	EC:2.1.1.182
B446_RS16350	EC:2.4.1.109
B446_RS16440	EC:1.14.13.22
B446_RS16490	EC:4.6.1.17
B446_RS16500	EC:2.7.7.9
B446_RS16530	EC:2.4.2.1
B446_RS16575	EC:2.7.1.191
B446_RS16645	EC:2.7.7.6
B446_RS16865	EC:2.5.1.77
B446_RS16885	EC:1.2.1.3
B446_RS16925	EC:6.2.1.3
B446_RS16950	EC:2.7.11.1
B446_RS17085	EC:3.1.26.5
B446_RS17135	EC:3.6.3.41
B446_RS17170	EC:1.4.3.5
B446_RS17175	EC:2.3.3.1
B446_RS17235	EC:2.6.1.52
B446_RS17345	EC:3.2.2.26
B446_RS17435	EC:4.2.1.126
B446_RS17495	EC:2.4.1.266
B446_RS17630	EC:2.3.1.179
B446_RS17650	EC:1.14.13.20
B446_RS17660	EC:3.6.3.20
B446_RS17685	EC:6.1.1.16
B446_RS17695	EC:4.6.1.12
B446_RS17700	EC:2.7.7.60
B446_RS17720	EC:2.7.13.3
B446_RS17770	EC:1.1.1.100
B446_RS17815	EC:5.4.2.11
B446_RS17845	EC:2.4.1.250
B446_RS17910	EC:3.1.3.15
B446_RS17940	EC:3.1.1.96
B446_RS17980	EC:2.8.1.1
B446_RS18015	EC:3.4.21.107
B446_RS18040	EC:2.3.1.189
B446_RS18065	EC:2.7.4.1
B446_RS18100	EC:3.6.3.27
B446_RS18250	EC:2.1.1.33
B446_RS18290	EC:3.5.4.25
B446_RS18310	EC:3.6.4.13
B446_RS18350	EC:3.6.4.13
B446_RS18375	EC:1.4.1.9
B446_RS18385	EC:6.3.3.1
B446_RS18390	EC:2.4.2.14
B446_RS18405	EC:6.3.5.3
B446_RS18410	EC:3.5.1.2
B446_RS18410	EC:6.3.5.3
B446_RS18460	EC:6.3.2.6
B446_RS18475	EC:6.3.4.13
B446_RS18565	EC:2.4.2.9
B446_RS18580	EC:3.5.4.33
B446_RS18665	EC:2.7.13.3
B446_RS18740	EC:6.2.1.3
B446_RS18820	EC:3.4.11.9
B446_RS18875	EC:6.1.1.11
B446_RS18965	EC:2.6.1.9
B446_RS18985	EC:4.1.99.17
B446_RS19020	EC:3.1.3.48
B446_RS19025	EC:4.4.1.1
B446_RS19080	EC:3.6.4.12
B446_RS19180	EC:1.8.1.9
B446_RS37170	EC:3.1.26.5
B446_RS19260	EC:5.99.1.3
B446_RS19265	EC:5.99.1.3
B446_RS19325	EC:2.7.11.1
B446_RS19345	EC:5.2.1.8
B446_RS19375	EC:4.1.3.27
B446_RS19390	EC:2.7.11.1
B446_RS19390	EC:2.7.11.25
B446_RS19525	EC:2.7.11.1
B446_RS19530	EC:2.7.11.1
B446_RS19545	EC:1.2.4.1
B446_RS19550	EC:2.3.1.12
B446_RS19625	EC:1.13.11.24
B446_RS19640	EC:6.1.1.12
B446_RS19660	EC:6.1.1.10
B446_RS19665	EC:6.1.1.10
B446_RS19810	EC:2.7.13.3
B446_RS19920	EC:1.2.1.38
B446_RS19955	EC:3.5.4.13
B446_RS20040	EC:3.6.4.12
B446_RS20060	EC:2.5.1.16
B446_RS20080	EC:2.4.2.10
B446_RS20085	EC:4.1.2.13
B446_RS20180	EC:6.3.4.4
B446_RS20225	EC:2.7.11.1
B446_RS20250	EC:2.7.2.4
B446_RS20255	EC:1.2.1.11
B446_RS20465	EC:4.2.99.18
B446_RS20495	EC:6.2.1.1
B446_RS20575	EC:3.6.1.1
B446_RS20595	EC:5.99.1.2
B446_RS20710	EC:1.2.1.3
B446_RS20765	EC:6.3.4.19
B446_RS20770	EC:2.4.2.8
B446_RS20780	EC:3.5.4.16
B446_RS20790	EC:2.7.6.3
B446_RS20805	EC:2.5.1.15
B446_RS20835	EC:1.6.5.11
B446_RS20870	EC:6.3.2.1
B446_RS20875	EC:1.4.3.16
B446_RS20880	EC:2.4.2.19
B446_RS20885	EC:2.7.1.33
B446_RS20945	EC:2.7.13.3
B446_RS20975	EC:2.7.7.85
B446_RS20985	EC:2.3.2.27
B446_RS21010	EC:4.2.1.9
B446_RS21015	EC:2.7.11.1
B446_RS21135	EC:1.2.1.70
B446_RS21140	EC:2.5.1.61
B446_RS21155	EC:4.2.1.24
B446_RS21185	EC:6.1.1.19
B446_RS21190	EC:6.1.1.6
B446_RS21265	EC:2.7.13.3
B446_RS21280	EC:3.6.3.17
B446_RS36175	EC:2.7.13.3
B446_RS21375	EC:5.4.3.8
B446_RS21460	EC:2.5.1.129
B446_RS21470	EC:2.5.1.120
B446_RS21500	EC:6.2.1.3
B446_RS21535	EC:4.2.1.151
B446_RS21550	EC:1.21.98.1
B446_RS21580	EC:3.5.1.88
B446_RS21590	EC:1.6.5.11
B446_RS21595	EC:1.6.5.11
B446_RS21600	EC:1.6.5.11
B446_RS21605	EC:1.6.5.11
B446_RS21615	EC:1.6.5.11
B446_RS21620	EC:1.6.5.11
B446_RS21640	EC:1.6.5.11
B446_RS21650	EC:1.6.5.11
B446_RS21655	EC:1.6.5.11
B446_RS21750	EC:1.2.7.3
B446_RS21755	EC:1.2.7.3
B446_RS21780	EC:1.6.5.11
B446_RS21790	EC:1.6.5.11
B446_RS21810	EC:1.6.5.11
B446_RS21815	EC:1.6.5.11
B446_RS21975	EC:3.6.1.27
B446_RS22040	EC:1.3.1.98
B446_RS22050	EC:3.5.4.4
B446_RS22055	EC:2.6.1.1
B446_RS22105	EC:2.7.7.6
B446_RS22275	EC:2.7.4.3
B446_RS22280	EC:3.4.11.18
B446_RS22305	EC:2.7.7.6
B446_RS22315	EC:5.4.99.12
B446_RS22335	EC:5.4.2.10
B446_RS22340	EC:2.7.1.33
B446_RS22345	EC:2.6.1.16
B446_RS22355	EC:2.7.8.7
B446_RS22360	EC:4.2.1.136
B446_RS22365	EC:5.1.1.1
B446_RS22395	EC:2.3.1.234
B446_RS22410	EC:3.2.1.21
B446_RS22500	EC:1.1.1.205
B446_RS22515	EC:1.1.5.3
B446_RS22535	EC:2.7.11.1
B446_RS22540	EC:2.7.11.1
B446_RS22555	EC:2.7.11.1
B446_RS22575	EC:6.3.5.2
B446_RS22640	EC:3.6.4.12
B446_RS22690	EC:6.2.1.5
B446_RS22695	EC:6.2.1.5
B446_RS22720	EC:2.1.2.3
B446_RS22720	EC:3.5.4.10
B446_RS22730	EC:1.5.1.5
B446_RS22730	EC:3.5.4.9
B446_RS22745	EC:1.1.1.37
B446_RS22765	EC:1.2.1.8
B446_RS22825	EC:2.1.2.1
B446_RS22830	EC:6.1.1.2
B446_RS22890	EC:1.3.5.1
B446_RS23040	EC:3.6.3.17
B446_RS23060	EC:2.4.2.4
B446_RS23100	EC:3.5.4.4
B446_RS23125	EC:2.7.13.3
B446_RS23155	EC:1.2.1.3
B446_RS23160	EC:4.1.2.4
B446_RS23175	EC:2.4.2.1
B446_RS23215	EC:6.4.1.3
B446_RS23225	EC:4.6.1.1
B446_RS23245	EC:4.3.1.3
B446_RS23285	EC:1.1.1.2
B446_RS23315	EC:4.4.1.1
B446_RS23335	EC:4.3.1.19
B446_RS23360	EC:3.5.1.115
B446_RS23425	EC:4.1.1.32
B446_RS23520	EC:3.4.17.18
B446_RS23625	EC:2.5.1.89
B446_RS23645	EC:1.11.1.15
B446_RS23650	EC:1.11.1.15
B446_RS23700	EC:4.2.1.2
B446_RS23730	EC:3.1.3.11
B446_RS23750	EC:3.1.11.6
B446_RS23760	EC:1.17.7.4
B446_RS23805	EC:4.1.3.27
B446_RS23810	EC:4.1.3.27
B446_RS23820	EC:2.4.2.18
B446_RS23885	EC:6.2.1.3
B446_RS24090	EC:3.6.3.24
B446_RS24105	EC:2.1.1.33
B446_RS24120	EC:3.6.4.12
B446_RS24130	EC:3.6.3.31
B446_RS24135	EC:3.6.3.24
B446_RS24170	EC:3.6.3.24
B446_RS24190	EC:3.5.1.103
B446_RS24395	EC:3.6.4.13
B446_RS24450	EC:3.6.3.24
B446_RS24500	EC:3.6.4.12
B446_RS24525	EC:3.6.4.12
B446_RS24625	EC:1.11.1.6
B446_RS24640	EC:3.1.3.15
B446_RS24660	EC:2.5.1.19
B446_RS24705	EC:3.5.1.88
B446_RS24710	EC:4.2.3.37
B446_RS24750	EC:3.5.99.6
B446_RS24850	EC:1.15.1.1
B446_RS24945	EC:1.2.4.2
B446_RS24950	EC:2.7.13.3
B446_RS24970	EC:3.4.21.53
B446_RS25065	EC:2.7.13.3
B446_RS25195	EC:4.1.1.20
B446_RS25200	EC:1.1.1.3
B446_RS25205	EC:4.2.3.1
B446_RS25210	EC:2.7.1.39
B446_RS25235	EC:2.1.1.297
B446_RS25240	EC:2.7.7.87
B446_RS25250	EC:2.1.2.1
B446_RS25290	EC:3.6.3.14
B446_RS25300	EC:3.6.3.14
B446_RS25315	EC:3.2.1.14
B446_RS25325	EC:2.7.13.3
B446_RS25415	EC:2.3.1.9
B446_RS25515	EC:2.7.1.40
B446_RS25520	EC:2.7.2.1
B446_RS25525	EC:2.3.1.8
B446_RS25530	EC:2.7.1.11
B446_RS25580	EC:3.6.4.12
B446_RS25585	EC:2.4.1.18
B446_RS25595	EC:5.4.99.16
B446_RS25600	EC:2.4.99.16
B446_RS25685	EC:4.2.1.17
B446_RS25730	EC:2.1.2.1
B446_RS25740	EC:2.1.2.10
B446_RS25830	EC:2.8.1.7
B446_RS25840	EC:2.8.1.13
B446_RS25870	EC:6.5.1.2
B446_RS25890	EC:6.3.5.7
B446_RS25950	EC:2.2.1.6
B446_RS25960	EC:1.1.1.86
B446_RS25965	EC:1.1.1.95
B446_RS26000	EC:1.1.1.85
B446_RS26005	EC:2.6.1.42
B446_RS26015	EC:3.5.1.5
B446_RS26020	EC:3.5.1.5
B446_RS26025	EC:3.5.3.12
B446_RS26035	EC:2.3.1.182
B446_RS26045	EC:3.2.1.4
B446_RS26080	EC:6.4.1.3
B446_RS26145	EC:6.1.1.17
B446_RS26185	EC:4.2.1.33
B446_RS26190	EC:4.2.1.33
B446_RS26210	EC:2.7.7.68
B446_RS26220	EC:1.1.1.94
B446_RS26225	EC:6.3.2.4
B446_RS26240	EC:2.7.4.16
B446_RS26270	EC:3.6.4.12
B446_RS26280	EC:2.7.7.3
B446_RS26300	EC:3.1.26.3
B446_RS26305	EC:4.2.99.18
B446_RS26305	EC:3.2.2.23
B446_RS26335	EC:3.6.1.7
B446_RS26350	EC:2.4.2.43
B446_RS26390	EC:2.7.7.59
B446_RS26430	EC:2.1.1.228
B446_RS26505	EC:2.7.4.22
B446_RS26570	EC:2.1.1.192
B446_RS26585	EC:3.6.3.30
B446_RS26665	EC:3.5.4.4
B446_RS26690	EC:3.6.3.31
B446_RS26715	EC:3.2.1.14
B446_RS26755	EC:1.1.1.267
B446_RS26765	EC:1.17.7.3
B446_RS26775	EC:2.3.1.183
B446_RS26780	EC:6.1.1.15
B446_RS26830	EC:5.4.99.25
B446_RS26915	EC:2.7.11.1
B446_RS26920	EC:2.7.11.1
B446_RS26945	EC:2.7.7.8
B446_RS26950	EC:3.4.24.64
B446_RS26955	EC:1.17.1.8
B446_RS26980	EC:4.3.3.7
B446_RS27040	EC:2.8.4.4
B446_RS27070	EC:3.2.2.23
B446_RS27160	EC:3.6.3.21
B446_RS27210	EC:2.8.4.3
B446_RS27230	EC:2.5.1.75
B446_RS27240	EC:5.1.1.7
B446_RS27280	EC:3.6.4.12
B446_RS27285	EC:3.4.21.88
B446_RS27295	EC:1.17.4.1
B446_RS27325	EC:3.1.26.4
B446_RS27375	EC:3.4.21.4
B446_RS27385	EC:5.99.1.3
B446_RS27440	EC:2.7.13.3
B446_RS27465	EC:5.99.1.3
B446_RS27510	EC:2.7.1.21
B446_RS27520	EC:2.8.1.2
B446_RS27545	EC:4.99.1.1
B446_RS27560	EC:2.7.13.3
B446_RS27585	EC:3.6.1.23
B446_RS27595	EC:2.7.13.3
B446_RS27630	EC:2.1.1.189
B446_RS27790	EC:5.4.99.2
B446_RS27795	EC:5.4.99.2
B446_RS27840	EC:3.4.16.4
B446_RS27875	EC:3.5.3.6
B446_RS27880	EC:2.1.3.3
B446_RS27975	EC:6.4.1.3
B446_RS28010	EC:1.3.1.9
B446_RS28015	EC:6.1.1.11
B446_RS28035	EC:2.3.1.180
B446_RS28240	EC:2.7.13.3
B446_RS28275	EC:4.2.1.3
B446_RS28330	EC:2.2.1.7
B446_RS28385	EC:4.1.1.37
B446_RS28475	EC:4.2.1.1
B446_RS28495	EC:6.3.2.8
B446_RS28500	EC:1.8.4.12
B446_RS28510	EC:3.6.3.25
B446_RS28610	EC:4.2.3.22
B446_RS28805	EC:2.7.7.4
B446_RS28810	EC:2.7.1.25
B446_RS28815	EC:1.8.4.8
B446_RS28930	EC:6.3.4.5
B446_RS28955	EC:3.2.1.23
B446_RS28965	EC:1.1.3.41
B446_RS29195	EC:3.4.21.4
B446_RS29240	EC:1.11.1.6
B446_RS29250	EC:5.3.1.22
B446_RS29275	EC:1.7.3.3
B446_RS29350	EC:2.7.13.3
B446_RS29370	EC:2.3.3.9
B446_RS29390	EC:3.5.2.5
B446_RS29395	EC:3.5.3.4
B446_RS29415	EC:3.1.27.3
B446_RS29580	EC:3.5.2.2
B446_RS29715	EC:2.7.11.1
B446_RS29755	EC:1.2.1.12
B446_RS29800	EC:1.17.7.4
B446_RS29805	EC:2.2.1.7
B446_RS29810	EC:1.17.7.3
B446_RS29830	EC:2.7.1.31
B446_RS29840	EC:4.1.1.65
B446_RS29865	EC:1.3.1.86
B446_RS29915	EC:2.1.1.144
B446_RS29945	EC:1.14.13.149
B446_RS30055	EC:2.1.1.144
B446_RS30070	EC:3.6.3.41
B446_RS30175	EC:4.2.1.96
B446_RS30220	EC:1.1.1.274
B446_RS30225	EC:6.2.1.3
B446_RS30255	EC:2.3.1.180
B446_RS30325	EC:3.2.1.21
B446_RS30425	EC:3.5.4.25
B446_RS30505	EC:5.3.1.9
B446_RS30515	EC:1.1.1.49
B446_RS30520	EC:2.2.1.2
B446_RS30525	EC:2.2.1.1
B446_RS30535	EC:3.2.1.4
B446_RS30565	EC:2.7.8.7
B446_RS30620	EC:3.1.4.3
B446_RS30650	EC:2.7.1.170
B446_RS30685	EC:2.8.3.5
B446_RS30710	EC:6.5.1.1
B446_RS30745	EC:3.5.3.18
B446_RS30775	EC:3.1.21.7
B446_RS30795	EC:2.3.1.9
B446_RS30800	EC:1.1.1.35
B446_RS30830	EC:3.4.14.11
B446_RS30840	EC:3.6.3.41
B446_RS30870	EC:5.3.3.2
B446_RS30880	EC:5.1.3.2
B446_RS30935	EC:2.5.1.10
B446_RS30955	EC:1.17.7.3
B446_RS30960	EC:2.2.1.7
B446_RS31040	EC:1.1.1.103
B446_RS31045	EC:2.3.1.29
B446_RS31135	EC:2.3.1.16
B446_RS31140	EC:6.2.1.3
B446_RS31150	EC:1.3.1.54
B446_RS31265	EC:1.1.1.18
B446_RS31315	EC:5.1.1.4
B446_RS31455	EC:2.7.13.3
B446_RS31490	EC:2.7.1.30
B446_RS31520	EC:2.6.1.9
B446_RS31550	EC:3.6.4.13
B446_RS31555	EC:3.6.4.13
B446_RS31635	EC:3.6.3.24
B446_RS31825	EC:1.14.14.5
B446_RS31830	EC:4.1.1.11
B446_RS31840	EC:1.1.1.44
B446_RS31865	EC:2.7.7.27
B446_RS31890	EC:3.5.1.4
B446_RS31945	EC:4.2.99.18
