REACT_143738	MNXR78385
rxn05816	MNXR27892
BR49071	MNXR8967
BS394994	MNXR73103
rxn05817	MNXR27893
REACT_100814	MNXR78311
REACT_100811	MNXR4654
REACT_100812	MNXR4978
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	MNXR55978
REACT_130310	MNXR78368
REACT_130318	MNXR78922
REACT_130319	MNXR78845
REACT_101143	MNXR78284
BR49073	MNXR8969
REACT_101146	MNXR2926
REACT_101149	MNXR64250
26564	MNXR6311
26565	MNXR6311
26562	MNXR6311
26563	MNXR6311
26560	MNXR1863
26561	MNXR1863
REACT_97360	MNXR1867
REACT_97361	MNXR25083
REACT_97366	MNXR515
REACT_97364	MNXR78544
BS288739	MNXR10306
C4STMO2Pr	MNXR68468
BS288733	MNXR72014
BS288735	MNXR57815
AKGDam	MNXR68326
3MCAT23DOX	MNXR54912
REACT_15342	MNXR78296
15558	MNXR19978
26339	MNXR69220
MEOHtly	MNXR3482
NACHEXA8ly	MNXR3739
REACT_98819	MNXR78798
PRISTtx	MNXR69789
REACT_98815	MNXR78768
UDPtl	MNXR56006
REACT_98813	MNXR78471
2.6.1.32-RXN	MNXR8231
PAtm_SC	MNXR45034
BR36860_WOP	MNXR70853
23510	MNXR8643
MANDELONITRILE-LYASE-RXN	MNXR71812
REACT_21400	MNXR78558
REACT_21407	MNXR79163
REACT_21409	MNXR78473
REACT_136814	MNXR78892
REACT_134569	MNXR78550
REACT_134568	MNXR78937
REACT_134563	MNXR78743
REACT_134567	MNXR78308
REACT_133034	MNXR68224
BR49922	MNXR9669
BR49921	MNXR9668
BR49920	MNXR61238
BR49927	MNXR9674
BR49926	MNXR9673
BR49925	MNXR9672
BR49924	MNXR9671
34DHOXPEGt	MNXR112
BR49928	MNXR57619
REACT_132921	MNXR78749
RIBOFLAVIN-SYN-RXN	MNXR69846
REACT_132926	MNXR73717
REACT_132928	MNXR78949
REACT_297	MNXR79185
REACT_291	MNXR78559
1.8.4.7-RXN	MNXR19311
2.3.1.125-RXN	MNXR59635
REACT_137203	MNXR25677
REACT_137201	MNXR78929
REACT_137200	MNXR25036
rxn03229	MNXR70570
rxn03228	MNXR74322
15700	MNXR71411
15701	MNXR26358
15702	MNXR26358
15703	MNXR26358
15704	MNXR26358
15705	MNXR8396
rxn03223	MNXR6481
15707	MNXR8396
24684	MNXR17800
24146	MNXR7645
24147	MNXR7645
24144	MNXR7645
24145	MNXR7645
REACT_57774	MNXR78609
6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN	MNXR15417
TREHe	MNXR5123
24862	MNXR74882
OMMBLHX	MNXR69586
REACT_103172	MNXR64250
REACT_103170	MNXR4127
REACT_103171	MNXR78480
GSNt2pp	MNXR2819
3.5.1.83-RXN	MNXR70786
REACT_53903	MNXR3464
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	MNXR31743
12014	MNXR5103
12017	MNXR57238
L-3-CYANOALANINE-SYNTHASE-RXN	MNXR70813
REACT_32316	MNXR78406
REACT_136555	MNXR78840
REACT_32313	MNXR69616
rxn02578	MNXR7574
REACT_81575	MNXR3775
rxn02576	MNXR8252
rxn02577	MNXR15381
rxn02574	MNXR15379
rxn02575	MNXR74110
rxn02572	MNXR15377
rxn02573	MNXR15378
rxn02570	MNXR74105
rxn02571	MNXR76955
REACT_87806	MNXR678
REACT_87804	MNXR78276
PTE2x	MNXR1988
REACT_92070	MNXR68238
REACT_92075	MNXR25093
REACT_92077	MNXR78424
REACT_87809	MNXR1134
30334	MNXR9390
30335	MNXR1476
30336	MNXR1476
30337	MNXR1476
30330	MNXR9392
30331	MNXR9390
30332	MNXR9390
30333	MNXR9390
TAGAALDOL-RXN	MNXR5031
30338	MNXR1476
30339	MNXR3344
DIMETHYLMALATE-DEHYDROGENASE-RXN	MNXR6575
Kt2pp	MNXR3188
REACT_100482	MNXR78276
DOLGPP_Ler	MNXR1730
REACT_100487	MNXR78279
REACT_100486	MNXR78278
REACT_100484	MNXR78277
ASPAMINOTRANS-RXN	MNXR32641
AACTtm	MNXR315
35219	MNXR65012
35214	MNXR65029
35215	MNXR57956
35216	MNXR57956
35217	MNXR57956
35210	MNXR69525
35211	MNXR65029
35212	MNXR65029
35213	MNXR65029
23266	MNXR6895
23267	MNXR6895
23264	MNXR6895
23265	MNXR6895
23262	MNXR15702
23263	MNXR15702
23260	MNXR15702
23261	MNXR15702
23268	MNXR6643
23269	MNXR6643
UCR01253	MNXR73738
RXN01544	MNXR6241
RXN01545	MNXR678
2-ISOPROPYLMALATESYN-RXN	MNXR3135
REACT_93300	MNXR5053
FAOXC140	MNXR68903
REACT_93306	MNXR78434
rxn11873	MNXR80739
rxn11872	MNXR75393
rxn11871	MNXR75392
REACT_33446	MNXR78664
REACT_33441	MNXR78630
rxn11876	MNXR75397
rxn11875	MNXR75396
rxn11874	MNXR80740
H4MPTGL(gtp)	MNXR69201
rxn11879	MNXR75410
rxn11878	MNXR75409
H3MTer_L	MNXR2870
H3MTer_U	MNXR2871
2.7.7.34-RXN	MNXR73710
BR49113	MNXR8994
BR49110	MNXR26642
BR49111	MNXR8993
BR49116	MNXR36668
BR49117	MNXR8998
BR49114	MNXR8995
BR49115	MNXR8996
UGT1A5r	MNXR70043
REACT_162220	MNXR3783
REACT_162225	MNXR79127
VNLNpp	MNXR5339
CSPG_Atly	MNXR1309
BR40478	MNXR7547
BR40479	MNXR15533
BR40476	MNXR7546
BR40477	MNXR4119
BR40474	MNXR7544
BR40475	MNXR56774
BR40472	MNXR65426
BR40473	MNXR70973
BR40470	MNXR7540
BR40471	MNXR60356
21614	MNXR7637
MANter	MNXR3430
REACT_115171	MNXR70063
RXN-2602	MNXR7172
REACT_125893	MNXR3815
REACT_125892	MNXR70349
REACT_125894	MNXR4184
REACT_125897	MNXR78884
H2CO3D2m	MNXR69196
REACT_99210	MNXR24909
REACT_115176	MNXR78733
ARG-OXIDATION-RXN	MNXR76208
ADNK1m	MNXR486
REACT_120970	MNXR78599
REACT_120972	MNXR78812
REACT_120974	MNXR78807
REACT_120976	MNXR78813
REACT_156692	MNXR78665
BR40361_WOP	MNXR956
REACT_128717	MNXR70464
REACT_128716	MNXR78936
REACT_128711	MNXR78731
REACT_128710	MNXR2856
REACT_163172	MNXR79129
3.4.15.1-RXN	MNXR61756
BR48249	MNXR8524
rxn05081	MNXR75050
REACT_139677	MNXR78621
REACT_128719	MNXR25524
REACT_139671	MNXR70734
REACT_139672	MNXR78696
REACT_139673	MNXR78474
BS374906	MNXR11526
REACT_882	MNXR26213
SERINE--TRNA-LIGASE-RXN	MNXR48615
4MBZDH	MNXR243
ACACT2r	MNXR343
DIENOYLCOAREDUCT-RXN	MNXR20300
18893	MNXR71421
18892	MNXR71085
18891	MNXR71085
18890	MNXR71085
18897	MNXR79265
18896	MNXR71421
18895	MNXR71421
18894	MNXR71421
18899	MNXR79265
18898	MNXR79265
RXN-10845	MNXR9009
rxn07247	MNXR71166
rxn07246	MNXR75053
BS190117	MNXR10095
BS190116	MNXR10094
rxn07243	MNXR17240
rxn07242	MNXR71272
rxn07241	MNXR71105
rxn07240	MNXR71104
RXN-10843	MNXR71567
rxn07249	MNXR80284
rxn07248	MNXR80283
13890	MNXR68871
LPLIPAL2G180	MNXR69376
LPLIPAL2G181	MNXR69377
RXN0-2145	MNXR24132
RXN66-142	MNXR24633
RXN66-141	MNXR64116
29999	MNXR4889
RXN66-147	MNXR64117
RXN66-146	MNXR24636
RXN66-145	MNXR24635
RXN66-144	MNXR24634
PHOSMANMUT-RXN	MNXR76419
REACT_156998	MNXR78520
REACT_156999	MNXR79089
REACT_156992	MNXR79077
FADH2tru	MNXR2047
RXN-10848	MNXR76557
L-RHAMNONO-14-LACTONASE-RXN	MNXR8351
REACT_86733	MNXR78326
REACT_86731	MNXR78388
30054	MNXR9911
TETRAHYDROBERBERINE-OXIDASE-RXN	MNXR7265
25509	MNXR75779
UER00965	MNXR4857
2.4.99.2-RXN	MNXR76031
NIt5	MNXR69539
CBItonex	MNXR68475
G14T21g	MNXR55496
CLFORtex	MNXR1185
BS93268	MNXR73558
BS93269	MNXR55788
1.3.1.19-RXN	MNXR7236
1.14.13.35-RXN	MNXR7495
REACT_20620	MNXR78319
RXN-11465	MNXR62385
REACT_114502	MNXR78294
PSCLYStex	MNXR69800
REACT_114509	MNXR78676
RXN-11461	MNXR21496
5ADTSTSTERONESULT	MNXR260
1.3.1.54-RXN	MNXR4116
ABEQUOSYLTRANSFERASE-RXN	MNXR61846
APATr	MNXR738
REACT_110355	MNXR78675
REACT_110351	MNXR78541
REACT_126908	MNXR78215
REACT_118165	MNXR78761
REACT_118164	MNXR78229
REACT_126904	MNXR64446
REACT_126905	MNXR78870
13988	MNXR3047
13989	MNXR70038
13985	MNXR3047
13986	MNXR3047
3.1.4.17-RXN	MNXR76081
13980	MNXR4811
REACT_82730	MNXR78332
REACT_155214	MNXR65009
REACT_155216	MNXR74163
REACT_155217	MNXR79108
REACT_155218	MNXR1000
REACT_155219	MNXR79047
ADOCBLS	MNXR496
BR36876	MNXR3351
REACT_81282	MNXR78455
REACT_120503	MNXR25337
REACT_81286	MNXR78604
REACT_120505	MNXR1037
REACT_81285	MNXR5039
REACT_126426	MNXR3189
REACT_126421	MNXR58150
BR36879	MNXR13332
REACT_80775	MNXR1551
UGMDDS2	MNXR5252
REACT_80777	MNXR78326
REACT_80772	MNXR778
16000	MNXR74188
16006	MNXR2498
16007	MNXR2498
4.1.1.86-RXN	MNXR8729
BR44170	MNXR7903
16008	MNXR2498
16009	MNXR8297
17359	MNXR14516
17358	MNXR14516
rxn13116	MNXR4870
17357	MNXR14516
rxn13117	MNXR5069
BS375248	MNXR72666
BS375249	MNXR11630
BS375242	MNXR72665
BS375243	MNXR58348
BS375240	MNXR11626
BS375241	MNXR54557
BS375246	MNXR56599
CRNtim	MNXR68590
rxn14188	MNXR18319
rxn14189	MNXR18443
RXN01284	MNXR6101
rxn14180	MNXR32435
rxn14181	MNXR18468
rxn14182	MNXR18265
rxn14183	MNXR18263
rxn14184	MNXR14666
rxn14185	MNXR81245
rxn14186	MNXR8815
rxn14187	MNXR60855
REACT_90309	MNXR78648
RXN-8961	MNXR14704
19588	MNXR6911
19586	MNXR6911
19587	MNXR6911
19584	MNXR8152
19585	MNXR6911
19582	MNXR8152
19583	MNXR8152
19580	MNXR71141
19581	MNXR8152
REACT_113625	MNXR78280
REACT_107445	MNXR69522
20869	MNXR5123
20868	MNXR5123
REACT_107441	MNXR78615
20865	MNXR70913
20864	MNXR70913
20867	MNXR70913
20866	MNXR70913
20861	MNXR6890
20860	MNXR6890
20863	MNXR6890
20862	MNXR6890
RHACOAR140	MNXR69855
rxn02630	MNXR70520
REACT_105174	MNXR78478
BS370997	MNXR72558
BS370991	MNXR72555
BS370993	MNXR72557
BS370992	MNXR72556
BS320782	MNXR69171
BS370998	MNXR58250
3.4.22.30-RXN	MNXR76137
REACT_105173	MNXR78435
REACT_10015	MNXR78235
REACT_10016	MNXR78237
BS322789	MNXR72094
REACT_10012	MNXR64232
REACT_94533	MNXR78218
REACT_10019	MNXR58306
REACT_10018	MNXR78239
REACT_94534	MNXR78814
REACT_105178	MNXR78553
BR22625	MNXR6576
12208	MNXR8469
12209	MNXR8469
12200	MNXR8673
12201	MNXR8673
12202	MNXR8673
12203	MNXR8673
rxn03795	MNXR74492
rxn03794	MNXR16155
rxn03797	MNXR36188
rxn03796	MNXR59866
rxn03791	MNXR16152
rxn03790	MNXR16151
rxn03793	MNXR16154
rxn03792	MNXR16153
25506	MNXR71626
rxn03799	MNXR16161
rxn03798	MNXR16160
29358	MNXR3871
29359	MNXR3875
OCTOPAMINE-DEHYDRATASE-RXN	MNXR8548
REACT_104931	MNXR78546
29355	MNXR3871
DSERtex	MNXR1804
29357	MNXR3871
11DOCRTSTRNtr	MNXR6
REACT_143888	MNXR3519
GDPMNH	MNXR69119
REACT_115667	MNXR3390
REACT_115666	MNXR25263
REACT_115661	MNXR2964
REACT_115663	MNXR78738
REACT_143881	MNXR78871
GDPMNP	MNXR2586
GUAt2r	MNXR2847
MDFDH	MNXR55696
REACT_102194	MNXR78238
REACT_102190	MNXR3826
REACT_148706	MNXR78776
11DOCRTSTRNtm	MNXR6
REACT_148700	MNXR78427
BS323255	MNXR4895
REACT_147419	MNXR78599
REACT_6805	MNXR78338
REACT_147411	MNXR78794
REACT_132274	MNXR78772
REACT_132276	MNXR25634
REACT_132271	MNXR78881
REACT_147414	MNXR78719
18025	MNXR59691
MINOHPtexi	MNXR3549
3.4.23.43-RXN	MNXR61801
RXN-13666	MNXR63152
RXN-13667	MNXR63153
RXN-13664	MNXR77133
RXN-13665	MNXR77134
RXN-13662	MNXR77131
RXN-13663	MNXR77132
RXN-13660	MNXR63147
RXN-13661	MNXR60167
BR47882	MNXR57104
BR47883	MNXR71289
BR47880	MNXR36818
BR47881	MNXR71288
BR47886	MNXR71290
REACT_89838	MNXR78609
BR47884	MNXR4764
BR47885	MNXR70333
REACT_89834	MNXR64343
BR47888	MNXR4690
BR47889	MNXR71291
REACT_89833	MNXR956
TMHAS6	MNXR69988
TMHAS5	MNXR69987
TMHAS4	MNXR69986
TMHAS3	MNXR69985
TMHAS2	MNXR69984
TMHAS1	MNXR69983
28409	MNXR55784
28408	MNXR55784
28403	MNXR2941
REACT_79745	MNXR78424
28401	MNXR26670
28400	MNXR26670
28407	MNXR55784
REACT_79741	MNXR79007
28405	MNXR2941
28404	MNXR2941
AMMONIA-KINASE-RXN	MNXR8304
RXN-9931	MNXR77926
18021	MNXR15740
SELt4_3	MNXR4806
13052	MNXR2849
REACT_96894	MNXR58150
13053	MNXR8072
REACT_144142	MNXR78710
REACT_144140	MNXR78864
13050	MNXR2849
ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN	MNXR6815
RXN1G-3232	MNXR24495
REACT_96891	MNXR69293
13056	MNXR8072
REACT_100137	MNXR78222
REACT_100136	MNXR588
RXN-12531	MNXR22208
RXN-12530	MNXR62618
CD2tex	MNXR68487
RXN-12532	MNXR22209
1.20.1.1-RXN	MNXR56599
RXN-12534	MNXR76916
RXN-12537	MNXR71757
RXN-12536	MNXR71758
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	MNXR7251
RXN-12538	MNXR9562
REACT_112432	MNXR78283
REACT_140741	MNXR78946
BS378380	MNXR72717
BS378382	MNXR57237
BS378383	MNXR60466
BS378384	MNXR58396
BS378386	MNXR11709
BS378387	MNXR72718
BS378388	MNXR11711
BS378389	MNXR1558
23718	MNXR9719
23719	MNXR9719
23716	MNXR9719
23717	MNXR9719
23714	MNXR6854
23715	MNXR6854
23712	MNXR6854
23713	MNXR6854
REACT_99847	MNXR78553
REACT_99846	MNXR78707
4.4.1.19-RXN	MNXR71232
REACT_94285	MNXR1298
RXN-7931	MNXR9719
REACT_141247	MNXR78724
REACT_141242	MNXR5387
GALACTONOLACTONE-DEHYDROGENASE-RXN	MNXR76303
REACT_143180	MNXR78658
1.1.1.277-RXN	MNXR6098
REACT_141248	MNXR78680
RXN-11929	MNXR21797
35584	MNXR13035
35585	MNXR13035
REACT_101266	MNXR3208
RXN-11928	MNXR21796
35583	MNXR13035
35588	MNXR68280
35589	MNXR68280
32057	MNXR19075
32056	MNXR19075
32055	MNXR19075
32054	MNXR14330
32053	MNXR14330
32052	MNXR14330
32051	MNXR14330
32050	MNXR14332
32058	MNXR19075
RXN-11923	MNXR37478
REACT_138654	MNXR78617
RXN-11922	MNXR76772
REACT_138659	MNXR78758
LACTALDEHYDE-OXI-RXN	MNXR3205
REACT_102336	MNXR78444
ALAt4	MNXR637
CFAS160G	MNXR68516
ALAt2	MNXR636
BS358668	MNXR10627
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	MNXR5465
25714	MNXR26580
RXN-8729	MNXR8701
S3TASE3ly	MNXR4696
RXN01408	MNXR31600
REACT_135559	MNXR78766
RXN-11925	MNXR21793
25712	MNXR26580
REACT_104167	MNXR78376
RXN01403	MNXR6166
RXN01402	MNXR56384
RXN01401	MNXR6164
RXN01400	MNXR6163
RXN01407	MNXR56386
RXN01406	MNXR6169
RXN01405	MNXR70471
RXN01404	MNXR70470
1.1.1.281-RXN	MNXR75881
RXN-2542	MNXR5592
3.4.17.19-RXN	MNXR61739
RXN-2541	MNXR75098
REACT_134682	MNXR78673
26067	MNXR12964
26066	MNXR12964
26065	MNXR12964
26064	MNXR12964
REACT_128085	MNXR78310
REACT_128080	MNXR50830
REACT_146739	MNXR78426
REACT_139305	MNXR1225
REACT_139301	MNXR78893
REACT_130651	MNXR78699
20253	MNXR8547
REACT_139308	MNXR78790
REACT_34431	MNXR78463
RXN-5111	MNXR77490
REACT_34439	MNXR2844
RXN-5112	MNXR22672
20254	MNXR8547
2.6.1.82-RXN	MNXR36811
3.4.21.71-RXN	MNXR76137
REACT_142586	MNXR78898
BS370388	MNXR71145
BS370389	MNXR72456
rxn09159	MNXR69758
rxn09158	MNXR69757
rxn09155	MNXR80404
rxn09154	MNXR69753
BS370382	MNXR71135
rxn09156	MNXR80405
BS370384	MNXR72455
BS370385	MNXR58165
BS370386	MNXR58166
rxn09152	MNXR69751
18568	MNXR7621
33728	MNXR79397
33729	MNXR79397
18563	MNXR1000
18562	MNXR1000
rxn08204	MNXR68494
rxn08205	MNXR68495
rxn08202	MNXR68491
BS189130	MNXR2200
18565	MNXR7621
rxn08201	MNXR68490
29765	MNXR212
LCAT1e	MNXR3206
2.4.1.216-RXN	MNXR19474
29766	MNXR212
BR22625_WOP	MNXR6576
29763	MNXR212
FUT11g	MNXR69025
NODOy	MNXR3850
NODOx	MNXR3849
BS370108	MNXR68632
23509	MNXR8643
REACT_32874	MNXR78604
REACT_32872	MNXR68290
CSDPASEly	MNXR1302
REACT_91207	MNXR78543
23505	MNXR494
REACT_108529	MNXR78640
BS188665	MNXR3016
31764	MNXR18258
31765	MNXR18258
31766	MNXR18258
31767	MNXR61237
rxn00857	MNXR6538
31761	MNXR16619
rxn00855	MNXR4515
31763	MNXR18258
rxn00859	MNXR2968
rxn00858	MNXR558
31768	MNXR61237
31769	MNXR61237
REACT_28616	MNXR78283
12DGR140tipp	MNXR8
BS259310	MNXR57771
BS259316	MNXR4762
34046	MNXR75584
34047	MNXR60990
34044	MNXR75584
34045	MNXR75584
34042	MNXR62811
34043	MNXR75584
34040	MNXR62811
34041	MNXR62811
2.6.1.80-RXN	MNXR33953
27618	MNXR65506
34048	MNXR60990
34049	MNXR60990
SMPD4	MNXR4861
UCR02601	MNXR69594
UCR02606	MNXR70705
rxn12257	MNXR29316
REACT_32297	MNXR78397
27615	MNXR65505
rxn12255	MNXR29314
CSEPASEly	MNXR1303
BR47699	MNXR32268
BR47698	MNXR4896
BR47697	MNXR15149
BR47696	MNXR32524
BR47695	MNXR30727
BR47694	MNXR8237
BR47693	MNXR574
BR47692	MNXR8236
BR47691	MNXR31792
BR47690	MNXR33777
3.4.24.65-RXN	MNXR76137
2.4.1.94-RXN	MNXR61594
27611	MNXR68996
G16MTg	MNXR69062
RXN-7022	MNXR57017
rxn12251	MNXR29310
rxn03177	MNXR65458
REACT_23967	MNXR1037
REACT_23966	MNXR69175
rxn05513	MNXR1035
rxn05512	MNXR55116
rxn05515	MNXR79901
rxn05514	MNXR1036
rxn05517	MNXR79902
REACT_10102	MNXR78336
rxn05519	MNXR27766
rxn05518	MNXR66727
REACT_10105	MNXR25000
UCR05377	MNXR59837
UCR05378	MNXR7164
COLIPAtex	MNXR68559
ST8SIA52g	MNXR4931
BR44046	MNXR33568
BR44045	MNXR33567
BR44044	MNXR71046
REACT_91677	MNXR78556
1.13.11.55-RXN	MNXR75899
BR44042	MNXR71045
BR47925	MNXR41491
BR44041	MNXR71044
BR47924	MNXR8348
DIHYDROFOLATEREDUCT-RXN	MNXR1561
BS378643	MNXR72735
16183	MNXR7708
BS378642	MNXR11886
PROSTAGLANDIN-I-SYNTHASE-RXN	MNXR4188
16182	MNXR7708
BR49097	MNXR71561
REACT_154018	MNXR78665
BR49095	MNXR57329
BS378647	MNXR71452
REACT_154011	MNXR79064
REACT_154010	MNXR502
BS378646	MNXR11888
REACT_154015	MNXR65019
REACT_154014	MNXR74970
BR49099	MNXR71563
BR49098	MNXR71562
REACT_121129	MNXR25451
AKGDH	MNXR595
RXN1F-101	MNXR63997
REACT_121125	MNXR64543
REACT_121126	MNXR78719
12316	MNXR79227
AKGDm	MNXR595
12317	MNXR79227
AKGDb	MNXR68327
AKGDa	MNXR68326
DCTP-DEAM-RXN	MNXR1475
10356	MNXR5701
10357	MNXR5701
10350	MNXR33124
10351	MNXR33124
3OAR100	MNXR68183
BS407133	MNXR13658
10358	MNXR5701
10359	MNXR5701
REACT_85723	MNXR78588
rxn00071	MNXR79243
REACT_158649	MNXR4455
rxn00073	MNXR79455
rxn00072	MNXR68478
REACT_160306	MNXR79152
REACT_160307	MNXR79153
rxn00077	MNXR3759
rxn00076	MNXR3745
rxn00079	MNXR14530
rxn00078	MNXR8287
REACT_158642	MNXR79038
REACT_158643	MNXR79076
REACT_158646	MNXR78325
REACT_158647	MNXR79052
REACT_120834	MNXR70464
REACT_120837	MNXR78786
REACT_120830	MNXR78785
REACT_120833	MNXR78599
REACT_112809	MNXR69073
REACT_163450	MNXR69197
REACT_163455	MNXR79133
REACT_163459	MNXR1037
FRUt4	MNXR69021
FRUt2	MNXR69020
FOLt2	MNXR2271
LYSINEARGININE-CARBOXYPEPTIDASE-RXN	MNXR76374
REACT_143715	MNXR68265
REACT_143710	MNXR78811
REACT_87384	MNXR78373
10920	MNXR65399
REACT_1509	MNXR2551
BTND1n	MNXR68443
REACT_1504	MNXR78381
REACT_148872	MNXR79038
REACT_148876	MNXR25046
LINKDEG1ly	MNXR69312
UER00264	MNXR4119
UER00265	MNXR3655
UER00266	MNXR228
UER00267	MNXR30403
UER00260	MNXR70638
UER00261	MNXR4008
UER00262	MNXR184
UER00263	MNXR209
UER00268	MNXR70973
UER00269	MNXR74169
REACT_95970	MNXR78605
REACT_95975	MNXR78346
REACT_95974	MNXR1000
UCR03351	MNXR69298
UCR03350	MNXR3175
rxn12025	MNXR75335
REACT_83766	MNXR2705
REACT_31382	MNXR78269
REACT_83764	MNXR78443
rxn12021	MNXR75315
REACT_31385	MNXR78255
REACT_31386	MNXR78261
rxn12022	MNXR80772
rxn12029	MNXR75346
rxn12028	MNXR75344
REACT_83768	MNXR78322
rxn13376	MNXR81075
rxn13377	MNXR29926
rxn13374	MNXR4072
rxn13375	MNXR81074
rxn13373	MNXR4072
REACT_89583	MNXR78631
rxn13371	MNXR29923
rxn13378	MNXR81076
rxn13379	MNXR81077
14303	MNXR6263
14302	MNXR6263
14301	MNXR6263
14300	MNXR74114
14307	MNXR39691
14306	MNXR39691
14305	MNXR39691
