Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
AAMYLe	alpha-amylase	0.0	1.0 14glucan_e -> 1.0 malthx_e	(SVEN_RS09275)	Alternate Carbon Metabolism
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	0.0	1.0 acmum6p_c + 1.0 h2o_c -> 1.0 lac_DASH_D_c + 1.0 acgam6p_c	(SVEN_RS20135)	Alternate Carbon Metabolism
ACS2	acetyl-CoA synthase (propionate)	0.0	1.0 ppa_c + 1.0 coa_c + 1.0 atp_c -> 1.0 ppi_c + 1.0 amp_c + 1.0 ppcoa_c	(SVEN_RS04770 or SVEN_RS28805 or SVEN_RS33545 or SVEN_RS16485)	Alternate Carbon Metabolism
AGDC	N-acetylglucosamine-6-phosphate deacetylase	0.0	1.0 h2o_c + 1.0 acgam6p_c -> 1.0 ac_c + 1.0 gam6p_c	(SVEN_RS20025)	Alternate Carbon Metabolism
ALCD19	alcohol dehydrogenase (glycerol)	-1000.0	1.0 nadh_c + 1.0 glyald_c + 1.0 h_c <=> 1.0 glyc_c + 1.0 nad_c	(SVEN_RS22880 or SVEN_RS33560 or SVEN_RS06235 or SVEN_RS24570)	Alternate Carbon Metabolism
ALCD19y	alcohol dehydrogenase (glycerol, NADP)	-1000.0	1.0 nadph_c + 1.0 h_c + 1.0 glyald_c <=> 1.0 nadp_c + 1.0 glyc_c	(SVEN_RS22880)	Alternate Carbon Metabolism
ALDD1	aldehyde dehydrogenase (formaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 fald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 for_c	(SVEN_RS07180 or SVEN_RS02920)	Alternate Carbon Metabolism
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 pacald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 pac_c	(SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455)	Alternate Carbon Metabolism
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	0.0	1.0 acald_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 ac_c + 1.0 nadh_c + 2.0 h_c	(SVEN_RS26395 or SVEN_RS10005 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455 or SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS25780 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455 or SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455)	Alternate Carbon Metabolism
ALLTAMH	allantoate amidohydrolase	0.0	1.0 alltt_c + 2.0 h2o_c + 2.0 h_c -> 1.0 urdglyc_c + 1.0 co2_c + 2.0 nh4_c	(SVEN_RS13935)	Alternate Carbon Metabolism
AMALT1	Amylomaltase (maltotriose)	0.0	1.0 malt_c + 1.0 malttr_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SVEN_RS11995)	Alternate Carbon Metabolism
AMALT2	Amylomaltase (maltotetraose)	0.0	1.0 malt_c + 1.0 maltttr_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SVEN_RS11995)	Alternate Carbon Metabolism
AMALT3	Amylomaltase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 malt_c -> 1.0 glc_DASH_D_c + 1.0 malthx_c	(SVEN_RS11995)	Alternate Carbon Metabolism
AMALT4	Amylomaltase (maltohexaose)	0.0	1.0 malt_c + 1.0 malthx_c -> 1.0 glc_DASH_D_c + 1.0 malthp_c	(SVEN_RS11995)	Alternate Carbon Metabolism
BGLU	b-glucosidase (cellobiose)	0.0	1.0 h2o_c + 1.0 celb_c -> 2.0 glc_DASH_D_c	(SVEN_RS10870 or SVEN_RS33350 or SVEN_RS32650 or SVEN_RS03040 or SVEN_RS34785 or SVEN_RS35500 or SVEN_RS32650 or SVEN_RS03040 or SVEN_RS34785 or SVEN_RS35500 or SVEN_RS10870 or SVEN_RS33350 or SVEN_RS10870 or SVEN_RS33350 or SVEN_RS36385)	Alternate Carbon Metabolism
DCH	diacetylchitobiose hydrolase	0.0	1.0 h2o_c + 1.0 chtbs_c -> 2.0 acgam_c	(SVEN_RS12540 or SVEN_RS24325 or SVEN_RS12670 or SVEN_RS36455 or SVEN_RS13360)	Alternate Carbon Metabolism
DDGLK	2-dehydro-3-deoxygluconokinase	0.0	1.0 2ddglcn_c + 1.0 atp_c -> 1.0 2ddg6p_c + 1.0 adp_c + 1.0 h_c	(SVEN_RS23175 or SVEN_RS23175)	Alternate Carbon Metabolism
DHACOAH	2,3-dehydroadipyl-CoA hydratase	-1000.0	1.0 h2o_c + 1.0 23dhacoa_c <=> 1.0 3hadpcoa_c	(SVEN_RS05795 or SVEN_RS24990 or SVEN_RS17830 or SVEN_RS31270 or SVEN_RS28905 or SVEN_RS31775)	Alternate Carbon Metabolism
DHAK	dihydroxyacetone kinase	0.0	1.0 dha_c + 1.0 atp_c -> 1.0 dhap_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS01915)	Alternate Carbon Metabolism
DHDGLCD	5-dehydro-4-deoxyglucarate dehydratase	0.0	1.0 5dh4dglc_c + 1.0 h_c -> 1.0 h2o_c + 1.0 co2_c + 1.0 25dptn_c	(SVEN_RS07505 or SVEN_RS00335)	Alternate Carbon Metabolism
DRBK	Deoxyribokinase	0.0	1.0 atp_c + 1.0 drib_c -> 1.0 2dr5p_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS08270)	Alternate Carbon Metabolism
DRPA	deoxyribose-phosphate aldolase	0.0	1.0 2dr5p_c -> 1.0 acald_c + 1.0 g3p_c	(SVEN_RS22745)	Alternate Carbon Metabolism
DTARTD	D(-)-tartrate dehydratase	0.0	1.0 tartr_DASH_D_c -> 1.0 h2o_c + 1.0 oaa_c	(SVEN_RS23400)	Alternate Carbon Metabolism
FDH	formate dehydrogenase	0.0	1.0 for_c + 1.0 nad_c -> 1.0 co2_c + 1.0 nadh_c	(SVEN_RS08020 or SVEN_RS35095 or SVEN_RS11130 or SVEN_RS15035 or SVEN_RS02905)	Alternate Carbon Metabolism
FORCT	Formyl-CoA Transferase	-1000.0	1.0 oxa_c + 1.0 forcoa_c <=> 1.0 oxalcoa_c + 1.0 for_c	(SVEN_RS01605 or SVEN_RS06545 or SVEN_RS08275)	Alternate Carbon Metabolism
FRUK	fructose-1-phosphate kinase	0.0	1.0 f1p_c + 1.0 atp_c -> 1.0 fdp_c + 1.0 adp_c + 1.0 h_c	(SVEN_RS20020 or SVEN_RS15100)	Alternate Carbon Metabolism
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	-1000.0	1.0 glyc3p_c + 1.0 nadp_c <=> 1.0 dhap_c + 1.0 nadph_c + 1.0 h_c	(SVEN_RS26065)	Alternate Carbon Metabolism
G6PDA	glucosamine-6-phosphate deaminase	0.0	1.0 gam6p_c + 1.0 h2o_c -> 1.0 nh4_c + 1.0 f6p_c	(SVEN_RS24330)	Alternate Carbon Metabolism
GALCTND	galactonate dehydratase	0.0	1.0 galctn_DASH_D_c -> 1.0 h2o_c + 1.0 2dh3dgal_c	(SVEN_RS32890)	Alternate Carbon Metabolism
GALKr	galactokinase	-1000.0	1.0 gal_c + 1.0 atp_c <=> 1.0 h_c + 1.0 adp_c + 1.0 gal1p_c	(SVEN_RS14640)	Alternate Carbon Metabolism
GLCRD	glucarate dehydratase	0.0	1.0 glcr_c -> 1.0 h2o_c + 1.0 5dh4dglc_c	(SVEN_RS06315 or SVEN_RS00330)	Alternate Carbon Metabolism
GLYALDDr	D-Glyceraldehyde dehydrogenase	-1000.0	1.0 h2o_c + 1.0 glyald_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 glyc_DASH_R_c + 2.0 h_c	(SVEN_RS26395 or SVEN_RS10005 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455 or SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS25780 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455 or SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455)	Alternate Carbon Metabolism
GLYCDx	Glycerol dehydrogenase	0.0	1.0 glyc_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 dha_c	(SVEN_RS31910)	Alternate Carbon Metabolism
GLYCTO1	Glycolate oxidase	0.0	1.0 o2_c + 1.0 glyclt_c -> 1.0 h2o2_c + 1.0 glx_c	(SVEN_RS13215)	Alternate Carbon Metabolism
GLYCTO3	Glycolate oxidase	0.0	1.0 glyclt_c + 1.0 mqn9_c -> 1.0 glx_c + 1.0 mql9_c	(SVEN_RS13215)	Alternate Carbon Metabolism
GLYK	glycerol kinase	0.0	1.0 glyc_c + 1.0 atp_c -> 1.0 glyc3p_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS01990 or SVEN_RS06125 or SVEN_RS01990 or SVEN_RS06125)	Alternate Carbon Metabolism
GNK	gluconokinase	0.0	1.0 glcn_c + 1.0 atp_c -> 1.0 6pgc_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS06250)	Alternate Carbon Metabolism
HADPCOADH3	3-hydroxyadipyl-CoA dehydrogenase (NAD+)	-1000.0	1.0 3hadpcoa_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 oxadpcoa_c + 1.0 h_c	(SVEN_RS05795 or SVEN_RS24990 or SVEN_RS17830 or SVEN_RS31270 or SVEN_RS27625 or SVEN_RS31775 or SVEN_RS05795 or SVEN_RS24990 or SVEN_RS17830 or SVEN_RS31270 or SVEN_RS27625 or SVEN_RS28905 or SVEN_RS31775)	Alternate Carbon Metabolism
HPYRI	hydroxypyruvate isomerase	-1000.0	1.0 hpyr_c <=> 1.0 2h3oppan_c	(SVEN_RS30200)	Alternate Carbon Metabolism
LACZ	b-galactosidase	0.0	1.0 lcts_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 glc_DASH_D_c	(SCO0766 or SCO3479 or SVEN_RS32870 or SVEN_RS32910 or SCO6457 or SVEN_RS32870 or SVEN_RS32910)	Alternate Carbon Metabolism
LCADi	lactaldehyde dehydrogenase	0.0	1.0 h2o_c + 1.0 lald_DASH_L_c + 1.0 nad_c -> 1.0 lac_DASH_L_c + 1.0 nadh_c + 2.0 h_c	(SVEN_RS26395 or SVEN_RS10005 or SVEN_RS35375 or SVEN_RS05885 or SVEN_RS06470 or SVEN_RS12415 or SVEN_RS22155 or SVEN_RS01540 or SVEN_RS22740 or SVEN_RS00585 or SVEN_RS27650 or SVEN_RS26525 or SVEN_RS00940 or SVEN_RS16190 or SVEN_RS02380 or SVEN_RS33565 or SVEN_RS15285 or SVEN_RS26455)	Alternate Carbon Metabolism
LYXI	Lyxose isomerase	0.0	1.0 lyx_DASH_L_c -> 1.0 xylu_DASH_L_c	(SVEN_RS32960)	Alternate Carbon Metabolism
MALT	alpha-glucosidase	0.0	1.0 malt_c + 1.0 h2o_c -> 2.0 glc_DASH_D_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MAN6PI	mannose-6-phosphate isomerase	-1000.0	1.0 man6p_c <=> 1.0 f6p_c	(SVEN_RS13670 or SVEN_RS34135)	Alternate Carbon Metabolism
MLTG1	Maltodextrin glucosidase (maltotriose)	0.0	1.0 h2o_c + 1.0 malttr_c -> 1.0 malt_c + 1.0 glc_DASH_D_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MLTG1e	Maltodextrin glucosidase (maltotriose)	0.0	1.0 malttr_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 malt_e	(SVEN_RS34655)	Alternate Carbon Metabolism
MLTG2	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 h2o_c + 1.0 maltttr_c -> 1.0 glc_DASH_D_c + 1.0 malttr_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MLTG2e	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 maltttr_e + 1.0 h2o_e -> 1.0 malttr_e + 1.0 glc_DASH_D_e	(SVEN_RS34655)	Alternate Carbon Metabolism
MLTG3	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 h2o_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MLTG3e	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 h2o_e + 1.0 maltpt_e -> 1.0 maltttr_e + 1.0 glc_DASH_D_e	(SVEN_RS34655)	Alternate Carbon Metabolism
MLTG4	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 h2o_c + 1.0 malthx_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MLTG4e	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 malthx_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 maltpt_e	(SVEN_RS34655)	Alternate Carbon Metabolism
MLTG5	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 h2o_c + 1.0 malthp_c -> 1.0 malthx_c + 1.0 glc_DASH_D_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
MLTG5e	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 malthp_e + 1.0 h2o_e -> 1.0 malthx_e + 1.0 glc_DASH_D_e	(SVEN_RS34655)	Alternate Carbon Metabolism
MLTP1	Maltodextrin phosphorylase (maltopentaose)	-1000.0	1.0 maltpt_c + 1.0 pi_c <=> 1.0 maltttr_c + 1.0 g1p_c	(SVEN_RS25325)	Alternate Carbon Metabolism
MLTP2	Maltodextrin phosphorylase (maltohexaose)	-1000.0	1.0 pi_c + 1.0 malthx_c <=> 1.0 maltpt_c + 1.0 g1p_c	(SVEN_RS25325)	Alternate Carbon Metabolism
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	-1000.0	1.0 pi_c + 1.0 malthp_c <=> 1.0 malthx_c + 1.0 g1p_c	(SVEN_RS25325)	Alternate Carbon Metabolism
MTI	maltose trehalose isomerase	-1000.0	1.0 tre_c <=> 1.0 malt_c	(SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
OXCDC	Oxalyl-CoA decarboxylase	0.0	1.0 oxalcoa_c + 1.0 h_c -> 1.0 co2_c + 1.0 forcoa_c	(SVEN_RS25735 or SVEN_RS30170 or SVEN_RS29485 or SVEN_RS33130)	Alternate Carbon Metabolism
OXDHCOAT	3-oxo-5,6-dehydrosuberyl-CoA thiolase	0.0	1.0 3oxdhscoa_c + 1.0 coa_c -> 1.0 23dhacoa_c + 1.0 accoa_c	((SVEN_RS21045 and SVEN_RS25380 and SVEN_RS23785 and SVEN_RS04315 and SVEN_RS28910 and SVEN_RS08175 and SVEN_RS25060 and SVEN_RS34080 and SVEN_RS13995 and SVEN_RS31770 and SVEN_RS10045) or SVEN_RS04315 or SVEN_RS28910 or SVEN_RS08175 or SVEN_RS25060 or SVEN_RS34080 or SVEN_RS13995 or SVEN_RS31770 or SVEN_RS10045 or SVEN_RS04315 or SVEN_RS28910 or SVEN_RS08175 or SVEN_RS25060 or SVEN_RS34080 or SVEN_RS13995 or SVEN_RS31770 or SVEN_RS10045)	Alternate Carbon Metabolism
PACCOAE	ring 1,2-phenylacetyl-CoA epoxidase (NADPH)	0.0	1.0 phaccoa_c + 1.0 o2_c + 1.0 nadph_c + 1.0 h_c -> 1.0 rephaccoa_c + 1.0 h2o_c + 1.0 nadp_c	((SVEN_RS17855 and SVEN_RS17860 and SVEN_RS17865 and SVEN_RS17870 and SVEN_RS17875))	Alternate Carbon Metabolism
PACCOAL	phenylacetate-CoA ligase	0.0	1.0 pac_c + 1.0 coa_c + 1.0 atp_c -> 1.0 phaccoa_c + 1.0 ppi_c + 1.0 amp_c	(SVEN_RS01390)	Alternate Carbon Metabolism
PFK_2	Phosphofructokinase	0.0	1.0 tag6p_DASH_D_c + 1.0 atp_c -> 1.0 tagdp_DASH_D_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS25195 or SVEN_RS03980 or SVEN_RS25195 or SVEN_RS03980)	Alternate Carbon Metabolism
PGMT	phosphoglucomutase	-1000.0	1.0 g1p_c <=> 1.0 g6p_c	(SCO7443)	Alternate Carbon Metabolism
PMANM	phosphomannomutase	-1000.0	1.0 man1p_c <=> 1.0 man6p_c	(SVEN_RS13685 or SVEN_RS13735 or SVEN_RS04715)	Alternate Carbon Metabolism
PPAKr	Propionate kinase	-1000.0	1.0 adp_c + 1.0 ppap_c <=> 1.0 ppa_c + 1.0 atp_c	(SVEN_RS25185)	Alternate Carbon Metabolism
PTA2	Phosphate acetyltransferase	0.0	1.0 pi_c + 1.0 ppcoa_c -> 1.0 coa_c + 1.0 ppap_c	(SVEN_RS25190)	Alternate Carbon Metabolism
RBK	ribokinase	0.0	1.0 rib_DASH_D_c + 1.0 atp_c -> 1.0 r5p_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS08270)	Alternate Carbon Metabolism
REPHACCOAI	ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	-1000.0	1.0 rephaccoa_c <=> 1.0 2oxpaccoa_c	(SVEN_RS21045 or SVEN_RS25380 or SVEN_RS23785)	Alternate Carbon Metabolism
RMK	rhamnulokinase	0.0	1.0 atp_c + 1.0 rml_c -> 1.0 h_c + 1.0 adp_c + 1.0 rml1p_c	(SVEN_RS32950)	Alternate Carbon Metabolism
SUCR	sucrose hydrolyzing enzyme	0.0	1.0 h2o_c + 1.0 sucr_c -> 1.0 glc_DASH_D_c + 1.0 fru_c	(SVEN_RS04775 or SVEN_RS32835 or SVEN_RS36425 or SVEN_RS09290 or SVEN_RS25285)	Alternate Carbon Metabolism
TAUDO	Taurine dioxygenase	0.0	1.0 akg_c + 1.0 o2_c + 1.0 taur_c -> 1.0 succ_c + 1.0 co2_c + 1.0 aacald_c + 1.0 h_c + 1.0 so3_c	(SVEN_RS33475)	Alternate Carbon Metabolism
TGBPA	Tagatose-bisphosphate aldolase	-1000.0	1.0 tagdp_DASH_D_c <=> 1.0 dhap_c + 1.0 g3p_c	((SCO5848 and SVEN_RS36290))	Alternate Carbon Metabolism
TRE6PP	trehalose-phosphatase	0.0	1.0 tre6p_c + 1.0 h2o_c -> 1.0 tre_c + 1.0 pi_c	(SVEN_RS20045)	Alternate Carbon Metabolism
TRE6PS	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	0.0	1.0 g6p_c + 1.0 udpg_c -> 1.0 tre6p_c + 1.0 udp_c + 1.0 h_c	(SVEN_RS20055)	Alternate Carbon Metabolism
TRSARr	tartronate semialdehyde reductase	-1000.0	1.0 nadh_c + 1.0 h_c + 1.0 2h3oppan_c <=> 1.0 glyc_DASH_R_c + 1.0 nad_c	(SVEN_RS27665 or SVEN_RS30195)	Alternate Carbon Metabolism
UDPG4E	UDPglucose 4-epimerase	-1000.0	1.0 udpg_c <=> 1.0 udpgal_c	(SVEN_RS11680 or SVEN_RS14645 or SVEN_RS15760)	Alternate Carbon Metabolism
UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase	-1000.0	1.0 udpg_c + 1.0 gal1p_c <=> 1.0 udpgal_c + 1.0 g1p_c	(SVEN_RS14650)	Alternate Carbon Metabolism
XYLI1	xylose isomerase	-1000.0	1.0 xyl_DASH_D_c <=> 1.0 xylu_DASH_D_c	(SVEN_RS32975)	Alternate Carbon Metabolism
XYLI2	xylose isomerase	-1000.0	1.0 glc_DASH_D_c <=> 1.0 fru_c	(SVEN_RS32975)	Alternate Carbon Metabolism
XYLK	xylulokinase	0.0	1.0 xylu_DASH_D_c + 1.0 atp_c -> 1.0 xu5p_DASH_D_c + 1.0 h_c + 1.0 adp_c	(SVEN_RS32980 or SVEN_RS11075)	Alternate Carbon Metabolism
ICL	Isocitrate lyase	0.0	1.0 icit_c -> 1.0 succ_c + 1.0 glx_c	(SVEN_RS27635)	Anaplerotic Reactions
MALS	malate synthase	0.0	1.0 h2o_c + 1.0 glx_c + 1.0 accoa_c -> 1.0 mal_DASH_L_c + 1.0 coa_c + 1.0 h_c	(SVEN_RS27680 or SVEN_RS30270 or SVEN_RS27630)	Anaplerotic Reactions
ME1	malic enzyme (NAD)	0.0	1.0 mal_DASH_L_c + 1.0 nad_c -> 1.0 pyr_c + 1.0 nadh_c + 1.0 co2_c	(SVEN_RS24565 or SVEN_RS13400)	Anaplerotic Reactions
ME2	malic enzyme (NADP)	0.0	1.0 mal_DASH_L_c + 1.0 nadp_c -> 1.0 pyr_c + 1.0 co2_c + 1.0 nadph_c	(SVEN_RS24565 or SVEN_RS13400)	Anaplerotic Reactions
PEPCK	phosphoenolpyruvate carboxykinase (GTP)	0.0	1.0 gtp_c + 1.0 oaa_c -> 1.0 pep_c + 1.0 co2_c + 1.0 gdp_c	(SVEN_RS23125)	Anaplerotic Reactions
PPA	inorganic diphosphatase	0.0	1.0 ppi_c + 1.0 h2o_c -> 2.0 pi_c + 1.0 h_c	(SVEN_RS16135)	Anaplerotic Reactions
PPA_1	inorganic diphosphatase (one proton translocation)	0.0	1.0 ppi_c + 1.0 h2o_c -> 1.0 h_e + 2.0 pi_c	(SVEN_RS16405)	Anaplerotic Reactions
PPC	phosphoenolpyruvate carboxylase	0.0	1.0 pep_c + 1.0 h2o_c + 1.0 co2_c -> 1.0 pi_c + 1.0 h_c + 1.0 oaa_c	(SVEN_RS14605)	Anaplerotic Reactions
4HGLSD	L-4-hydroxyglutamate semialdehyde dehydrogenase	0.0	1.0 h2o_c + 1.0 4hglusa_c + 1.0 nad_c -> 1.0 e4hglu_c + 1.0 nadh_c + 2.0 h_c	(SVEN_RS25780)	Arginine and Proline Metabolism
