Metabolite ID	Metabolite name	Formula	Compartment
atp_c	ATP	C10H12N5O13P3	c
ump_e	UMP	C9H11N2O9P	e
3oiC6ACP_c	3-Oxoisohexanoyl-[acyl-carrier protein]	C17H29N2O9PRS	c
2fe2s_c	[2Fe-2S] iron-sulfur cluster	S2Fe2	c
piai170_c	phosphatidylinositol (diante-isoheptadecanoyl, ante-iso-C17:0)	C43H82O13P1	c
forcoa_c	Formyl-CoA	C22H32N7O17P3S	c
LalaDglu_c	L-alanine-D-glutamate	C8H13N2O5	c
1aiC15g3p_c	1-ante-isopentadecanoyl-sn-glycerol 3-phosphate	C18H35O7P1	c
C00030_c	Reduced		c
LalaDglu_e	L-alanine-D-glutamate	C8H13N2O5	e
3hbcoa_c	(S)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	c
pe150_c	phosphatidylethanolamine (dipentadecanoyl, n-C15:0)	C35H70N1O8P1	c
C06128_c	GM4	C36H63N2O16R	c
din_c	Deoxyinosine	C10H12N4O4	c
gua_e	Guanine	C5H5N5O	e
iscssh_c	IscS with bound sulfur	HS2R	c
dna_c	DNA	C10H17O8PR2(C5H8O5PR)n	c
3haiC15ACP_c	(R)-3-Hydroxyante-isopentadecanoyl-[acyl-carrier protein]	C26H49N2O9PRS	c
C04186_c	5-Carboxymethyl-2-hydroxymuconate	C8H8O7	c
amob_c	S-Adenosyl-4-methylthio-2-oxobutanoate	C15H19N5O6S	c
hom_DASH_L_e	L-Homoserine	C4H9NO3	e
gtp_c	GTP	C10H12N5O14P3	c
aiC17_c	Ante-isoheptadecanoate (ante-iso-C17:0)	C17H33O2	c
alac_DASH_S_c	(S)-2-Acetolactate	C5H7O4	c
s17bp_c	Sedoheptulose 1,7-bisphosphate	C7H12O13P2	c
clpn141_c	cardiolipin (tetratetradec-7-enoyl, n-C14:1)	C65H116O17P2	c
apoACPredL_c	apoprotein [acyl carrier protein] (RED - redL)	RHO	c
C02888_c	Sorbose	C6H13O9P	c
3mop_c	(S)-3-Methyl-2-oxopentanoate	C6H9O3	c
C07447_c	Acetylhydrazine	C2H6N2O	c
pii180_c	phosphatidylinositol (diisooctadecanoyl, iso-C18:0)	C45H86O13P1	c
ala_DASH_B_e	beta-Alanine	C3H7NO2	e
C16468_c	(2E)-5-Methylhexa-2,4-dienoyl-CoA	C28H44N7O17P3S	c
pgi170_c	Phosphatidylglycerol (diisoheptadecanoyl, iso-C17:0)	C40H78O10P1	c
C01885_c	1-Acylglycerol	C4H7O4R	c
valtrna_c	L-Valyl-tRNA(Val)	C5H10NOR	c
mi4p_DASH_D_c	1D-myo-inositol 4-phosphate(2-)	C6H11O9P	c
C00996_c	Ferricytochrome		c
sufsesh_c	SufSE with bound sulfur	HS2R	c
trnatrp_c	tRNA(Trp)	R	c
lcts_c	Lactose	C12H22O11	c
cbl1_c	Cob(I)alamin	C62H88CoN13O14P	c
cbl1_e	Cob(I)alamin	C62H88CoN13O14P	e
no2_e	Nitrite	NO2	e
no2_c	Nitrite	NO2	c
2mecdp_c	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C5H10O9P2	c
C02403_c	Fatty	CO2R	c
dhlpro_c	dihydrolipoylprotein	C8H16NOS2R	c
C06597_c	1,3,4,6-Tetrachloro-1,4-cyclohexadiene	C6H4Cl4	c
val_DASH_L_e	L-Valine	C5H11NO2	e
val_DASH_L_c	L-Valine	C5H11NO2	c
ascb6p_c	L-ascorbate 6-phosphate	C6H7O9P	c
C05140_c	16alpha-Hydroxyandrost-4-ene-3,17-dione	C19H26O3	c
cbp_c	Carbamoyl phosphate	CH2NO5P	c
pa170_c	1,2-diheptadecanoyl-sn-glycerol 3-phosphate	C37H71O8P1	c
iscs_c	IscS sulfur acceptor protein	HSR	c
alaala_e	D-Alanyl-D-alanine	C6H12N2O3	e
pc_SC_c	phosphatidylcholine	C10H19NO8PR2	c
Cluster29_nrps_e	Cluster29_nrps_e		e
Cluster29_nrps_c	Cluster29_nrps_c		c
alaala_c	D-Alanyl-D-alanine	C6H12N2O3	c
tag160_c	Triacylglycerol (trihexadecanoyl, n-C16:0)	C51H98O6	c
pgpi140_c	Phosphatidylglycerophosphate (diisotetradecanoyl, iso-C14:0)	C34H65O13P2	c
5aizc_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P	c
h2o2_c	Hydrogen peroxide	H2O2	c
C14868_c	S-(1,2-Dichlorovinyl)glutathione	C12H17Cl2N3O6S	c
h2o2_e	Hydrogen peroxide	H2O2	e
3hddecACP_c	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	c
pyam5p_c	Pyridoxamine 5'-phosphate	C8H12N2O5P	c
3oiC12ACP_c	3-Oxoisododecanoyl-[acyl-carrier protein]	C23H41N2O9PRS	c
cholp_c	choline phosphate	C5H13NO4P	c
C00615_c	Protein	C7H8N4O2R2	c
C14865_c	2-(S-Glutathionyl)acetyl	C12H18ClN3O7S	c
acglu_c	N-Acetyl-L-glutamate	C7H9NO5	c
rbl_DASH_L_c	L-ribulose	C5H10O5	c
iC16p_c	Isohexadecanoyl-phosphate (n-C16:0)	C16H32O5P	c
thmtp_c	thiamine(1+) triphosphate(4-)	C12H16N4O10P3S	c
cddec5eACP_c	cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	C23H41N2O8PRS	c
C17346_c	(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	C48H80N7O19P3S	c
octa_c	octanoate (n-C8:0)	C8H15O2	c
ttdca_c	tetradecanoate (n-C14:0)	C14H27O2	c
3h26dm5coa_c	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	C31H48N7O18P3S	c
ura_c	Uracil	C4H4N2O2	c
glyc_e	Glycerol	C3H8O3	e
glyc_c	Glycerol	C3H8O3	c
ura_e	Uracil	C4H4N2O2	e
tiC112eACP_c	trans-isoundec-2-enoyl-[acyl-carrier protein]	C22H39N2O8PRS	c
C14863_c	2-(S-Glutathionyl)acetyl	C22H34N6O13S2	c
3hiC15ACP_c	(R)-3-Hydroxyisopentadecanoyl-[acyl-carrier protein]	C26H49N2O9PRS	c
cdpglc_c	CDP-glucose	C15H23N3O16P2	c
tre_e	Trehalose	C12H22O11	e
C16587_c	3-Carbamoyl-2-phenylpropionaldehyde	C10H11NO3	c
chsterol_c	cholesterol	C27H46O	c
3php_c	3-Phosphohydroxypyruvate	C3H2O7P	c
aa_c	acrylamide	C3H5NO	c
nonACP_c	Nonanoyl-ACP (n-C9:0ACP)	C20H37N2O8PRS	c
C16420_c	4-Acetamido-2-amino-6-nitrotoluene	C9H11N3O3	c
11docrtstrn_c	11-deoxycorticosterone	C21H30O3	c
C14806_c	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	C20H24N4O9S	c
4ahmmp_c	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O	c
23dhmb_c	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	c
ac_c	Acetate	C2H3O2	c
ac_e	Acetate	C2H3O2	e
salcn_e	Salicin	C13H18O7	e
salcn_c	salicin	C13H18O7	c
5mtr_e	5-Methylthio-D-ribose	C6H12O4S	e
5mtr_c	5-Methylthio-D-ribose	C6H12O4S	c
3hptnACP_c	(R)-3-Hydroxypentanoyl-[acyl-carrier protein]	C16H29N2O9PRS	c
glutrna_c	L-Glutamyl-tRNA(Glu)	C5H7NO3R	c
aiC9ACP_c	Ante-isononanoyl-ACP (ante-iso-C9:0ACP)	C20H37N2O8PRS	c
tcynt_c	isothiocyanic acid	CHNS	c
C14792_c	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C20H25N3O7S	c
acald_c	Acetaldehyde	C2H4O	c
C07645_c	Aldophosphamide	C7H15Cl2N2O3P	c
acald_e	Acetaldehyde	C2H4O	e
cbi_c	Cobinamide	C48H72CoN11O8	c
cbi_e	Cobinamide	C48H72CoN11O8	e
C00198_c	D-Glucono-1,5-lactone	C6H10O6	c
C11537_c	(2R)-3-Sulfolactate	C3H6O6S	c
ugmd_c	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	C35H51N7O26P2	c
xmp_c	Xanthosine 5'-phosphate	C10H11N4O9P	c
xmp_e	Xanthosine 5'-phosphate	C10H11N4O9P	e
mg2_e	magnesium	Mg	e
mg2_c	magnesium	Mg	c
12dgri170_c	1,2-Diacyl-sn-glycerol (diisoheptadecanoyl, iso-C17:0)	C37H72O5	c
thr_DASH_L_c	L-Threonine	C4H9NO3	c
thr_DASH_L_e	L-Threonine	C4H9NO3	e
focytc_c	Ferrocytochrome c	C42H53FeN8O6S2	c
C16330_c	3-Oxo-OPC8-CoA	C39H62N7O19P3S	c
xyl_DASH_D_c	D-Xylose	C5H10O5	c
xyl_DASH_D_e	D-Xylose	C5H10O5	e
C19588_c	Aflatoxin	C17H14O8	c
26dap_DASH_LL_c	LL-2,6-Diaminoheptanedioate	C7H14N2O4	c
ins_e	Inosine	C10H12N4O5	e
ins_c	Inosine	C10H12N4O5	c
minohp_c	1D-myo-inositol hexakisphosphate	C6H6O24P6	c
nh4_e	Ammonium	H4N	e
nh4_c	Ammonium	H4N	c
2dr5p_c	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	c
cyan_c	hydrogen cyanide	CHN	c
pei180_c	phosphatidylethanolamine (diisooctadecanoyl, iso-C18:0)	C41H82N1O8P1	c
C05998_c	3-Hydroxyisovaleryl-CoA	C26H44N7O18P3S	c
murein5p5p_c	two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)	C80H124N16O42	c
5apentam_c	5-ammoniopentanamide	C5H13N2O	c
co1dam_c	Cob(I)yrinate a,c diamide	C45H56CoN6O12	c
tagdp_DASH_D_c	D-Tagatose 1,6-biphosphate	C6H10O12P2	c
pe160_c	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)	C37H74N1O8P1	c
gdp_c	GDP	C10H12N5O11P2	c
no_e	Nitric oxide	NO	e
pg_SC_c	a phosphatidylglycerol	C8H12O10PR2	c
tre6p_c	alpha,alpha'-Trehalose 6-phosphate	C12H21O14P	c
5aop_c	5-Amino-4-oxopentanoate	C5H9NO3	c
ptdcap_c	Pentadecanoyl-phosphate (n-C15:0)	C15H30O5P	c
5mta_c	5-Methylthioadenosine	C11H15N5O3S	c
epmeACP_c	Enoylpimeloyl-[acyl-carrier protein] methyl ester	C19H31N2O10PRS	c
1tdecg3p_c	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P1	c
3c3hmp_c	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	c
mocogdp_c	molybdopterin guanine dinucleotide	C20H22N10O15P2S2Mo	c
ddcacoa_c	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	c
tagi150_c	Triacylglycerol (triisopentadecanoyl, iso-C15:0)	C48H92O6	c
4fumacac_c	4-Fumarylacetoacetate	C8H6O6	c
mmcoa_DASH_S_c	(S)-Methylmalonyl-CoA	C25H35N7O19P3S	c
trnaarg_c	tRNA(Arg)	R	c
pg150_c	Phosphatidylglycerol (dipentadecanoyl, n-C15:0)	C36H70O10P1	c
murein5p4p_c	two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)	C77H119N15O41	c
tag6p_DASH_D_c	D-Tagatose 6-phosphate	C6H11O9P	c
cpppg3_c	Coproporphyrinogen III	C36H40N4O8	c
LalaDgluMdapDala_c	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	C18H30N5O9	c
3oaiC13ACP_c	3-Oxoante-isotridecanoyl-[acyl-carrier protein]	C24H43N2O9PRS	c
C00195_c	N-Acylsphingosine	C19H36NO3R	c
cbasp_c	N-Carbamoyl-L-aspartate	C5H6N2O5	c
arbt6p_c	arbutin 6-phosphate	C12H15O10P	c
gam1p_c	D-Glucosamine 1-phosphate	C6H13NO8P	c
bwcogdp_c	tungsten bispterin cofactor guanine dinucleotide	C40H44N20O27P4S4W	c
csn_c	Cytosine	C4H5N3O	c
csn_e	Cytosine	C4H5N3O	e
dtbt_c	Dethiobiotin	C10H17N2O3	c
ptdca_c	Pentadecanoate (n-C15:0)	C15H29O2	c
3mob_c	3-Methyl-2-oxobutanoate	C5H7O3	c
25drapp_c	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H14N5O8P	c
gal1p_c	alpha-D-Galactose 1-phosphate	C6H11O9P	c
5fthf_c	5-Formyltetrahydrofolate	C20H21N7O7	c
aiC15p_c	Ante-isopentadecanoyl-phosphate (ante-iso-C15:0)	C15H30O5P	c
pre6a_c	Precorrin 6A	C44H47N4O16	c
pmcoa_c	pimeloyl-CoA(5-)	C28H41N7O19P3S	c
trnagly_c	tRNA(Gly)	R	c
C06310_c	Diploptene	C30H50	c
thepdca2eACP_c	trans-heptadec-2-enoyl-[acyl-carrier protein]	C28H51N2O8PRS	c
uaaGgla_c	undecaprenyldiphosphonato-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	c
xan_e	Xanthine	C5H4N4O2	e
C00916_c	Cephalosporin	C16H21N3O8S	c
xan_c	Xanthine	C5H4N4O2	c
pii160_c	phosphatidylinositol (diisohexadecanoyl, iso-C16:0)	C41H78O13P1	c
12dgr_EC_c	1,2-diacyl-sn-glycerol	C5H6O5R2	c
metsox_DASH_S_DASH_L_c	L-Methionine Sulfoxide	C5H11NO3S	c
6hmhpt_c	6-hydroxymethyl dihydropterin	C7H9N5O2	c
acmum6p_c	N-acetylmuramate 6-phosphate	C11H17NO11P	c
iasp_c	Iminoaspartate	C4H3NO4	c
hxan_c	Hypoxanthine	C5H4N4O	c
retinal_c	retinal	C20H28O	c
fum_c	Fumarate	C4H2O4	c
C06988_c	beta-1,2,3,4,5,6-Hexachlorocyclohexane	C6H6Cl6	c
spmd_c	Spermidine	C7H22N3	c
C04112_c	3-Methyl-cis,cis-hexadienedioate	C7H8O4	c
spmd_e	Spermidine	C7H22N3	e
C04737_c	alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	C37H66NO18R	c
aiC15_c	Ante-isopentadecanoate (ante-iso-C15:0)	C15H29O2	c
ppa_c	Propionate (n-C3:0)	C3H5O2	c
ppa_e	Propionate (n-C3:0)	C3H5O2	e
hexACP_c	Hexanoyl-ACP (n-C6:0ACP)	C17H31N2O8PRS	c
bz_c	benzoate	C7H5O2	c
acon_DASH_C_c	cis-Aconitate	C6H3O6	c
dcmp_c	dCMP	C9H12N3O7P	c
dcmp_e	dCMP	C9H12N3O7P	e
3ocpalm9eACP_c	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C27H47N2O9PRS	c
ppi_c	Diphosphate	HO7P2	c
C11583_c	4-Glutathionyl	C17H30Cl2N5O8PS	c
malACP_c	Malonyl-[acyl-carrier protein]	C14H22N2O10PRS	c
aiC13ACP_c	Ante-isotridecanoyl-ACP (ante-iso-C13:0ACP)	C24H45N2O8PRS	c
pi150_c	phosphatidylinositol (dipentadecanoyl, n-C15:0)	C39H74O13P1	c
uaagmda_c	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	c
asn_DASH_L_c	L-Asparagine	C4H8N2O3	c
asn_DASH_L_e	L-Asparagine	C4H8N2O3	e
5apru_c	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H13N4O9P	c
C03454_c	1-Alkenyl-2-acylglycerol	C6H8O4R2	c
na15dap_c	N-3-aminopropyl-1,5-diaminopentane	C8H24N3	c
fprica_c	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C10H13N4O9P	c
5hoxnfkyn_c	5-hydroxy-N-formylkynurenine	C11H12N2O5	c
iC17ACP_c	Isoheptadecanoyl-ACP (iso-C17:0ACP)	C28H53N2O8PRS	c
C05421_c	15-cis-Phytoene	C40H64	c
1p3h5c_c	L-1-Pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	c
glu5sa_c	L-Glutamate 5-semialdehyde	C5H9NO3	c
C04730_c	GM3	C42H73N2O21R	c
gal_c	D-Galactose	C6H12O6	c
C05427_c	Phytyl	C20H42O7P2	c
C03129_c	Long-chain	C3H4O2R(C2H4)n	c
meoh_e	Methanol	CH4O1	e
ala_DASH_D_e	D-Alanine	C3H7NO2	e
3hiC14ACP_c	(R)-3-Hydroxyisotetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	c
gar_c	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	c
C00856_c	DNA	C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n	c
dh6na_c	1,4-Dihydroxy-6-naphthoate	C11H7O4	c
peai170_c	phosphatidylethanolamine (diante-isoheptadecanoyl, ante-iso-C17:0)	C39H78N1O8P1	c
iC18ACP_c	Isooctadecanoyl-ACP (iso-C18:0ACP)	C29H55N2O8PRS	c
cytd_e	Cytidine	C9H13N3O5	e
C06258_c	Globin		c
1hdecg3p_c	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H37O7P1	c
gua_c	Guanine	C5H5N5O	c
clpn120_c	cardiolipin (tetradodecanoyl, n-C12:0)	C57H108O17P2	c
tiC62eACP_c	trans-isohex-2-enoyl-[acyl-carrier protein]	C17H29N2O8PRS	c
3hiC8ACP_c	(R)-3-Hydroxyisooctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	c
din_e	Deoxyinosine	C10H12N4O4	e
icit_c	Isocitrate	C6H5O7	c
3hibutcoa_c	(S)-3-Hydroxyisobutyryl-CoA	C25H38N7O18P3S	c
glutcoa_c	Glutaryl-CoA	C26H37N7O19P3S	c
C06752_c	1,2-Dichloroethane	C2H4Cl2	c
3snpyr_c	3-sulfinyl-pyruvate	C3H2O5S	c
tiC102eACP_c	trans-isodec-2-enoyl-[acyl-carrier protein]	C21H37N2O8PRS	c
Cluster03_t1pks_t3pks_nrps_e	Cluster03_t1pks_t3pks_nrps_e		e
Cluster03_t1pks_t3pks_nrps_c	Cluster03_t1pks_t3pks_nrps_c		c
trdox_c	Oxidized thioredoxin	X	c
3oaiC17ACP_c	3-Oxoante-isoheptadecanoyl-[acyl-carrier protein]	C28H51N2O9PRS	c
crtn_c	creatinine	C4H7N3O	c
lipopb_c	lipoate (protein bound)	C8H12OS2	c
egmeACP_c	Enoylglutaryl-[acyl-carrier protein] methyl ester	C17H27N2O10PRS	c
C04756_c	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine	C8H14NO7PR2	c
taiC92eACP_c	trans-ante-isonon-2-enoyl-[acyl-carrier protein]	C20H35N2O8PRS	c
pa140_c	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H59O8P1	c
C02474_c	Arabinan	(C15H24O12)n	c
murein4p4p_c	two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)	C74H114N14O40	c
adpglc_c	ADPglucose	C16H23N5O15P2	c
acg5sa_c	N-Acetyl-L-glutamate 5-semialdehyde	C7H10NO4	c
2me4p_c	2-C-methyl-D-erythritol 4-phosphate	C5H11O7P	c
malt6p_c	maltose 6'-phosphate(2-)	C12H21O14P	c
taiC112eACP_c	trans-ante-isoundec-2-enoyl-[acyl-carrier protein]	C22H39N2O8PRS	c
3oiC17ACP_c	3-Oxoisoheptadecanoyl-[acyl-carrier protein]	C28H51N2O9PRS	c
5prdmbz_c	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H17N2O7P	c
skm_e	Shikimate	C7H9O5	e
skm_c	Shikimate	C7H9O5	c
celb_e	Cellobiose	C12H22O11	e
C12455_c	5-Aminopentanal	C5H11NO	c
celb_c	Cellobiose	C12H22O11	c
C03518_c	N-Acetyl-beta-D-glucosaminide	C8H14NO6R	c
lcts_e	Lactose	C12H22O11	e
h_e	H+	H	e
h_c	H+	H	c
15dap_c	1,5-Diaminopentane	C5H16N2	c
C05139_c	16alpha-Hydroxydehydroepiandrosterone	C19H28O3	c
15dap_e	1,5-Diaminopentane	C5H16N2	e
malcoa_c	Malonyl-CoA	C24H33N7O19P3S	c
2ins_c	2-Inosose	C6H10O6	c
dtdp4d6dm_c	dTDP-4-dehydro-6-deoxy-L-mannose	C16H22N2O15P2	c
xylu_DASH_L_c	L-Xylulose	C5H10O5	c
adp_c	ADP	C10H12N5O10P2	c
moadcoo_c	MoaD Protein with carboxylate	C1O2X	c
hom_DASH_L_c	L-Homoserine	C4H9NO3	c
gthox_c	Oxidized glutathione	C20H30N6O12S2	c
pmeACP_c	Pimeloyl-[acyl-carrier protein] methyl ester	C19H33N2O10PRS	c
digalside_hs_c	digalactosylceramide	C31H56NO13R	c
iC12ACP_c	Isododecanoyl-ACP (iso-C12:0ACP)	C23H43N2O8PRS	c
C14871_c	S-(Formylmethyl)glutathione	C12H19N3O7S	c
C00550_c	Sphingomyelin	C24H49N2O6PR	c
tdeACP_c	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	C25H45N2O8PRS	c
pe140_c	phosphatidylethanolamine (ditetradecanoyl, n-C14:0)	C33H66N1O8P1	c
acon_DASH_T_c	trans-Aconitate	C6H3O6	c
pheme_c	Protoheme	C34H30FeN4O4	c
3psme_c	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H9O10P	c
hepACP_c	Heptanoyl-ACP (n-C7:0ACP)	C18H33N2O8PRS	c
fum_e	Fumarate	C4H2O4	e
C14839_c	Bromobenzene-3,4-oxide	C6H5BrO	c
23cgmp_e	2',3'-Cyclic GMP	C10H11N5O7P	e
ala_DASH_D_c	D-Alanine	C3H7NO2	c
r5p_c	alpha-D-Ribose 5-phosphate	C5H9O8P	c
C11907_c	dTDP-4-oxo-6-deoxy-D-glucose	C16H24N2O15P2	c
4hpro_DASH_LT_c	trans-4-Hydroxy-L-proline	C5H9NO3	c
arachd_c	arachidonate	C20H31O2	c
trnalys_c	tRNA(Lys)	R	c
C14874_c	Glutathione	C12H20N3O6S	c
aacald_c	Aminoacetaldehyde	C2H6NO	c
coucoa_c	4-coumaroyl-CoA	C30H38N7O18P3S	c
3oiC8ACP_c	3-Oxoisooctanoyl-[acyl-carrier protein]	C19H33N2O9PRS	c
3haiC17ACP_c	(R)-3-Hydroxyante-isoheptadecanoyl-[acyl-carrier protein]	C28H53N2O9PRS	c
pgp160_c	Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)	C38H73O13P2	c
apoACP_c	apoprotein [acyl carrier protein]	RHO	c
dmpp_c	Dimethylallyl diphosphate	C5H9O7P2	c
xtp_c	XTP	C10H11N4O15P3	c
ala_DASH_L_c	L-Alanine	C3H7NO2	c
ala_DASH_L_e	L-Alanine	C3H7NO2	e
ade_c	Adenine	C5H5N5	c
ade_e	Adenine	C5H5N5	e
ptdcaACP_c	Pentadecanoyl-ACP (n-C15:0ACP)	C26H49N2O8PRS	c
3hiC18ACP_c	(R)-3-Hydroxyisooctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	c
galt_c	galactitol	C6H14O6	c
odecoa_c	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	c
36dahx_c	(3S)-3,6-diammoniohexanoate	C6H15N2O2	c
ppp9_c	Protoporphyrin	C34H32N4O4	c
4hthr_c	4-Hydroxy-L-threonine	C4H9NO4	c
bhb_c	(R)-3-Hydroxybutanoate	C4H7O3	c
bhb_e	(R)-3-Hydroxybutanoate	C4H7O3	e
air_c	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	c
pgpi170_c	Phosphatidylglycerophosphate (diisoheptadecanoyl, iso-C17:0)	C40H77O13P2	c
C14861_c	S-(2,2-Dichloro-1-hydroxy)ethyl	C12H19Cl2N3O7S	c
urdglyc_c	(-)-Ureidoglycolate	C3H5N2O4	c
C04646_c	6-Thioinosine-5'-monophosphate	C10H13N4O7PS	c
C16348_c	cis-3-Chloroallyl	C3H3ClO	c
mi1p_DASH_L_c	1L-myo-Inositol 1-phosphate	C6H11O9P	c
cdpdptdecg_c	CDP-1,2-dipentadecanoylglycerol	C42H75N3O15P2	c
tagai170_c	Triacylglycerol (triante-isoheptadecanoyl, ante-iso-C17:0)	C54H104O6	c
ocdca_c	octadecanoate (n-C18:0)	C18H35O2	c
12dgri140_c	1,2-Diacyl-sn-glycerol (diisotetradecanoyl, iso-C14:0)	C31H60O5	c
gthrd_c	Reduced glutathione	C10H16N3O6S	c
hepdcaACP_c	Heptadecanoyl-ACP (n-C17:0ACP)	C28H53N2O8PRS	c
C16475_c	2-Fluoro-cis,cis-muconate	C6H5FO4	c
C03692_c	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	C11H16O10R2	c
scl_c	sirohydrochlorin	C42H39N4O16	c
C11278_c	Aflatoxin	C27H29N3O13S	c
mqn9_c	Menaquinone 9	C56H80O2	c
