Reaction ID	Reaction name	Lower bound	Reaction equation	GPR	Pathway
ALCD19	alcohol dehydrogenase (glycerol)	-1000.0	1.0 nadh_c + 1.0 glyald_c + 1.0 h_c <=> 1.0 glyc_c + 1.0 nad_c	(SAP1_RS17220 or SAP1_RS35810 or SAP1_RS06225 or SAP1_RS27600 or SAP1_RS30345 or SAP1_RS07460 or SAP1_RS07285 or SAP1_RS15540)	Alternate Carbon Metabolism
ALCD19y	alcohol dehydrogenase (glycerol, NADP)	-1000.0	1.0 nadph_c + 1.0 glyald_c + 1.0 h_c <=> 1.0 nadp_c + 1.0 glyc_c	(SAP1_RS17220 or SAP1_RS07285)	Alternate Carbon Metabolism
ALDD1	aldehyde dehydrogenase (formaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 fald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 for_c	(SAP1_RS19205 or SAP1_RS06865 or SAP1_RS37240 or SAP1_RS05330 or SAP1_RS33240)	Alternate Carbon Metabolism
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	0.0	1.0 h2o_c + 1.0 nad_c + 1.0 pacald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 pac_c	(SAP1_RS17825 or SAP1_RS33980 or SAP1_RS06455 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965)	Alternate Carbon Metabolism
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	0.0	1.0 acald_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 ac_c + 1.0 nadh_c + 2.0 h_c	(SAP1_RS17825 or SAP1_RS33980 or SAP1_RS06455 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965 or SAP1_RS17825 or SAP1_RS33980 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965 or SAP1_RS17825 or SAP1_RS33980 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965)	Alternate Carbon Metabolism
ALLTAMH	allantoate amidohydrolase	0.0	1.0 alltt_c + 2.0 h2o_c + 2.0 h_c -> 1.0 urdglyc_c + 1.0 co2_c + 2.0 nh4_c	(SAP1_RS18125)	Alternate Carbon Metabolism
AMALT1	Amylomaltase (maltotriose)	0.0	1.0 malt_c + 1.0 malttr_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SAP1_RS27890)	Alternate Carbon Metabolism
AMALT2	Amylomaltase (maltotetraose)	0.0	1.0 malt_c + 1.0 maltttr_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SAP1_RS27890)	Alternate Carbon Metabolism
AMALT3	Amylomaltase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 malt_c -> 1.0 glc_DASH_D_c + 1.0 malthx_c	(SAP1_RS27890)	Alternate Carbon Metabolism
AMALT4	Amylomaltase (maltohexaose)	0.0	1.0 malt_c + 1.0 malthx_c -> 1.0 glc_DASH_D_c + 1.0 malthp_c	(SAP1_RS27890)	Alternate Carbon Metabolism
BGLU	b-glucosidase (cellobiose)	0.0	1.0 h2o_c + 1.0 celb_c -> 2.0 glc_DASH_D_c	(SAP1_RS14160 or SAP1_RS25780 or SAP1_RS28965 or SAP1_RS27175 or SAP1_RS09530 or SAP1_RS28965 or SAP1_RS27175 or SAP1_RS09530 or SCO6597 or SAP1_RS28965 or SAP1_RS27175 or SAP1_RS09530 or SAP1_RS28965 or SAP1_RS27175 or SAP1_RS09530)	Alternate Carbon Metabolism
DCH	diacetylchitobiose hydrolase	0.0	1.0 h2o_c + 1.0 chtbs_c -> 2.0 acgam_c	(SAP1_RS15730 or SAP1_RS27435 or SAP1_RS27255 or SAP1_RS26550)	Alternate Carbon Metabolism
DDGLK	2-dehydro-3-deoxygluconokinase	0.0	1.0 2ddglcn_c + 1.0 atp_c -> 1.0 2ddg6p_c + 1.0 adp_c + 1.0 h_c	(SAP1_RS17040 or SAP1_RS17040)	Alternate Carbon Metabolism
DHACOAH	2,3-dehydroadipyl-CoA hydratase	-1000.0	1.0 h2o_c + 1.0 23dhacoa_c <=> 1.0 3hadpcoa_c	(SAP1_RS08920 or SAP1_RS22615 or SAP1_RS34750 or SAP1_RS11750 or SAP1_RS10095 or SAP1_RS14965)	Alternate Carbon Metabolism
DHAK	dihydroxyacetone kinase	0.0	1.0 atp_c + 1.0 dha_c -> 1.0 dhap_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS06925)	Alternate Carbon Metabolism
DHDGLCD	5-dehydro-4-deoxyglucarate dehydratase	0.0	1.0 5dh4dglc_c + 1.0 h_c -> 1.0 h2o_c + 1.0 co2_c + 1.0 25dptn_c	(SAP1_RS32800 or SAP1_RS28875)	Alternate Carbon Metabolism
DRBK	Deoxyribokinase	0.0	1.0 atp_c + 1.0 drib_c -> 1.0 adp_c + 1.0 2dr5p_c + 1.0 h_c	(SAP1_RS27510)	Alternate Carbon Metabolism
DRPA	deoxyribose-phosphate aldolase	0.0	1.0 2dr5p_c -> 1.0 acald_c + 1.0 g3p_c	(SAP1_RS17375)	Alternate Carbon Metabolism
DTARTD	D(-)-tartrate dehydratase	0.0	1.0 tartr_DASH_D_c -> 1.0 h2o_c + 1.0 oaa_c	(SAP1_RS16725)	Alternate Carbon Metabolism
EPMGH	epimelibiose galactohydrolase	0.0	1.0 h2o_c + 1.0 epm_c -> 1.0 gal_c + 1.0 man_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
FDH	formate dehydrogenase	0.0	1.0 for_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 co2_c	(SAP1_RS09705 or SAP1_RS12220 or SAP1_RS32135)	Alternate Carbon Metabolism
FORCT	Formyl-CoA Transferase	-1000.0	1.0 oxa_c + 1.0 forcoa_c <=> 1.0 oxalcoa_c + 1.0 for_c	(SAP1_RS09635 or SAP1_RS31915)	Alternate Carbon Metabolism
FRUK	fructose-1-phosphate kinase	0.0	1.0 f1p_c + 1.0 atp_c -> 1.0 fdp_c + 1.0 adp_c + 1.0 h_c	(SAP1_RS20420 or SAP1_RS19110)	Alternate Carbon Metabolism
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	-1000.0	1.0 glyc3p_c + 1.0 nadp_c <=> 1.0 dhap_c + 1.0 nadph_c + 1.0 h_c	(SAP1_RS13990)	Alternate Carbon Metabolism
G6PDA	glucosamine-6-phosphate deaminase	0.0	1.0 h2o_c + 1.0 gam6p_c -> 1.0 nh4_c + 1.0 f6p_c	(SAP1_RS15725)	Alternate Carbon Metabolism
GALCTND	galactonate dehydratase	0.0	1.0 galctn_DASH_D_c -> 1.0 h2o_c + 1.0 2dh3dgal_c	(SAP1_RS29845)	Alternate Carbon Metabolism
GALIGH	1-alpha-D-Galactosyl-myo-inositol galactohydrolase	0.0	1.0 1Dgali_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 inost_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
GALKr	galactokinase	-1000.0	1.0 gal_c + 1.0 atp_c <=> 1.0 h_c + 1.0 gal1p_c + 1.0 adp_c	(SAP1_RS18530)	Alternate Carbon Metabolism
GALS3	a-galactosidase (melibiose)	0.0	1.0 h2o_c + 1.0 melib_c -> 1.0 gal_c + 1.0 glc_DASH_D_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
GGLGH	galactosylglycerol galactohydrolase	0.0	1.0 h2o_c + 1.0 ggl_c -> 1.0 gal_c + 1.0 glyc_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
GLCRD	glucarate dehydratase	0.0	1.0 glcr_c -> 1.0 h2o_c + 1.0 5dh4dglc_c	(SAP1_RS28880)	Alternate Carbon Metabolism
GLYALDDr	D-Glyceraldehyde dehydrogenase	-1000.0	1.0 h2o_c + 1.0 glyald_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 glyc_DASH_R_c + 2.0 h_c	(SAP1_RS17825 or SAP1_RS33980 or SAP1_RS06455 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965 or SAP1_RS17825 or SAP1_RS33980 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965 or SAP1_RS17825 or SAP1_RS33980 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965)	Alternate Carbon Metabolism
GLYCDx	Glycerol dehydrogenase	0.0	1.0 glyc_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 dha_c	(SAP1_RS08815)	Alternate Carbon Metabolism
GLYCTO1	Glycolate oxidase	0.0	1.0 o2_c + 1.0 glyclt_c -> 1.0 h2o2_c + 1.0 glx_c	(SAP1_RS26650 or SAP1_RS07155 or SAP1_RS20090 or SAP1_RS07420)	Alternate Carbon Metabolism
GLYCTO3	Glycolate oxidase	0.0	1.0 glyclt_c + 1.0 mqn9_c -> 1.0 glx_c + 1.0 mql9_c	(SAP1_RS26650 or SAP1_RS07155 or SAP1_RS20090 or SAP1_RS07420)	Alternate Carbon Metabolism
GLYK	glycerol kinase	0.0	1.0 glyc_c + 1.0 atp_c -> 1.0 glyc3p_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS35860 or SAP1_RS37095 or SAP1_RS34330 or SAP1_RS35860 or SAP1_RS37095 or SAP1_RS34330)	Alternate Carbon Metabolism
GNK	gluconokinase	0.0	1.0 glcn_c + 1.0 atp_c -> 1.0 6pgc_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS34150 or SAP1_RS10180)	Alternate Carbon Metabolism
HADPCOADH3	3-hydroxyadipyl-CoA dehydrogenase (NAD+)	-1000.0	1.0 3hadpcoa_c + 1.0 nad_c <=> 1.0 nadh_c + 1.0 h_c + 1.0 oxadpcoa_c	(SAP1_RS08920 or SAP1_RS22615 or SAP1_RS34750 or SAP1_RS10790 or SAP1_RS15060 or SAP1_RS10095 or SAP1_RS14965 or SAP1_RS08920 or SAP1_RS22615 or SAP1_RS34750 or SAP1_RS10790 or SAP1_RS15060 or SAP1_RS10095 or SAP1_RS14965)	Alternate Carbon Metabolism
HEX7	hexokinase (D-fructose:ATP)	0.0	1.0 atp_c + 1.0 fru_c -> 1.0 h_c + 1.0 adp_c + 1.0 f6p_c	(SAP1_RS32435 or SAP1_RS29515)	Alternate Carbon Metabolism
HPYRI	hydroxypyruvate isomerase	-1000.0	1.0 hpyr_c <=> 1.0 2h3oppan_c	(SAP1_RS10685)	Alternate Carbon Metabolism
IDOND	L-idonate 5-dehydrogenase	-1000.0	1.0 5dglcn_c + 1.0 h_c + 1.0 nadh_c <=> 1.0 idon_DASH_L_c + 1.0 nad_c	(SAP1_RS34135)	Alternate Carbon Metabolism
IDOND2	L-idonate 5-dehydrogenase (NADP)	0.0	1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c	(SAP1_RS34135)	Alternate Carbon Metabolism
LACZ	b-galactosidase	0.0	1.0 lcts_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 glc_DASH_D_c	(SAP1_RS38510 or SAP1_RS07120 or SAP1_RS05655 or SAP1_RS07750 or SAP1_RS13460 or SAP1_RS38510 or SAP1_RS11050 or SAP1_RS09320)	Alternate Carbon Metabolism
LCADi	lactaldehyde dehydrogenase	0.0	1.0 h2o_c + 1.0 lald_DASH_L_c + 1.0 nad_c -> 1.0 lac_DASH_L_c + 1.0 nadh_c + 2.0 h_c	(SAP1_RS17825 or SAP1_RS33980 or SAP1_RS06455 or SAP1_RS13545 or SAP1_RS13635 or SAP1_RS27635 or SAP1_RS35785 or SAP1_RS30250 or SAP1_RS04430 or SAP1_RS24095 or SAP1_RS17380 or SAP1_RS08625 or SAP1_RS19705 or SAP1_RS36740 or SAP1_RS13490 or SAP1_RS34645 or SAP1_RS36865 or SAP1_RS25945 or SAP1_RS36965)	Alternate Carbon Metabolism
LYXI	Lyxose isomerase	0.0	1.0 lyx_DASH_L_c -> 1.0 xylu_DASH_L_c	(SAP1_RS38170)	Alternate Carbon Metabolism
MALT	alpha-glucosidase	0.0	1.0 malt_c + 1.0 h2o_c -> 2.0 glc_DASH_D_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MAN6PI	mannose-6-phosphate isomerase	-1000.0	1.0 man6p_c <=> 1.0 f6p_c	(SAP1_RS26115)	Alternate Carbon Metabolism
MELTGH	melibiitol galactohydrolase	0.0	1.0 h2o_c + 1.0 melt_c -> 1.0 gal_c + 1.0 sbt_DASH_D_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
MLTG1	Maltodextrin glucosidase (maltotriose)	0.0	1.0 h2o_c + 1.0 malttr_c -> 1.0 malt_c + 1.0 glc_DASH_D_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MLTG1e	Maltodextrin glucosidase (maltotriose)	0.0	1.0 malttr_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 malt_e	(SCO7019 or SAP1_RS30895)	Alternate Carbon Metabolism
MLTG2	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 h2o_c + 1.0 maltttr_c -> 1.0 glc_DASH_D_c + 1.0 malttr_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MLTG2e	Maltodextrin glucosidase (maltotetraose)	0.0	1.0 maltttr_e + 1.0 h2o_e -> 1.0 malttr_e + 1.0 glc_DASH_D_e	(SCO7019 or SAP1_RS30895)	Alternate Carbon Metabolism
MLTG3	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 maltpt_c + 1.0 h2o_c -> 1.0 glc_DASH_D_c + 1.0 maltttr_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MLTG3e	Maltodextrin glucosidase (maltopentaose)	0.0	1.0 h2o_e + 1.0 maltpt_e -> 1.0 maltttr_e + 1.0 glc_DASH_D_e	(SCO7019 or SAP1_RS30895)	Alternate Carbon Metabolism
MLTG4	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 h2o_c + 1.0 malthx_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MLTG4e	Maltodextrin glucosidase (maltohexaose)	0.0	1.0 malthx_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 maltpt_e	(SCO7019 or SAP1_RS30895)	Alternate Carbon Metabolism
MLTG5	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 h2o_c + 1.0 malthp_c -> 1.0 glc_DASH_D_c + 1.0 malthx_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
MLTG5e	Maltodextrin glucosidase (maltoheptaose)	0.0	1.0 malthp_e + 1.0 h2o_e -> 1.0 glc_DASH_D_e + 1.0 malthx_e	(SCO7019 or SAP1_RS30895)	Alternate Carbon Metabolism
MLTP1	Maltodextrin phosphorylase (maltopentaose)	-1000.0	1.0 maltpt_c + 1.0 pi_c <=> 1.0 maltttr_c + 1.0 g1p_c	(SAP1_RS14620)	Alternate Carbon Metabolism
MLTP2	Maltodextrin phosphorylase (maltohexaose)	-1000.0	1.0 pi_c + 1.0 malthx_c <=> 1.0 maltpt_c + 1.0 g1p_c	(SAP1_RS14620)	Alternate Carbon Metabolism
MLTP3	Maltodextrin phosphorylase (maltoheptaose)	-1000.0	1.0 pi_c + 1.0 malthp_c <=> 1.0 malthx_c + 1.0 g1p_c	(SAP1_RS14620)	Alternate Carbon Metabolism
MTI	maltose trehalose isomerase	-1000.0	1.0 tre_c <=> 1.0 malt_c	(SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
OXCDC	Oxalyl-CoA decarboxylase	0.0	1.0 oxalcoa_c + 1.0 h_c -> 1.0 co2_c + 1.0 forcoa_c	(SAP1_RS09630 or SAP1_RS05295 or SAP1_RS10960 or SAP1_RS10705 or SAP1_RS14280)	Alternate Carbon Metabolism
OXDHCOAT	3-oxo-5,6-dehydrosuberyl-CoA thiolase	0.0	1.0 3oxdhscoa_c + 1.0 coa_c -> 1.0 23dhacoa_c + 1.0 accoa_c	((SAP1_RS16230 and SAP1_RS08925 and SAP1_RS09030 and SAP1_RS30200 and SAP1_RS18210 and SAP1_RS11745 and SAP1_RS36190 and SAP1_RS08535 and SAP1_RS14895 and SAP1_RS07410 and SAP1_RS31995) or SAP1_RS08925 or SAP1_RS09030 or SAP1_RS30200 or SAP1_RS18210 or SAP1_RS11745 or SAP1_RS36190 or SAP1_RS08535 or SAP1_RS14895 or SAP1_RS07410 or SAP1_RS31995 or SAP1_RS08925 or SAP1_RS30200 or SAP1_RS18210 or SAP1_RS11745 or SAP1_RS36190 or SAP1_RS08535 or SAP1_RS14895 or SAP1_RS07410 or SAP1_RS31995)	Alternate Carbon Metabolism
PACCOAE	ring 1,2-phenylacetyl-CoA epoxidase (NADPH)	0.0	1.0 phaccoa_c + 1.0 o2_c + 1.0 nadph_c + 1.0 h_c -> 1.0 rephaccoa_c + 1.0 h2o_c + 1.0 nadp_c	((SAP1_RS22590 and SAP1_RS22585 and SAP1_RS22580 and SAP1_RS22575 and SAP1_RS22570))	Alternate Carbon Metabolism
PACCOAL	phenylacetate-CoA ligase	0.0	1.0 pac_c + 1.0 coa_c + 1.0 atp_c -> 1.0 phaccoa_c + 1.0 ppi_c + 1.0 amp_c	(SAP1_RS06790)	Alternate Carbon Metabolism
PFK_2	Phosphofructokinase	0.0	1.0 tag6p_DASH_D_c + 1.0 atp_c -> 1.0 tagdp_DASH_D_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS14730 or SAP1_RS36685 or SAP1_RS31405 or SAP1_RS14730 or SAP1_RS36685 or SAP1_RS31405)	Alternate Carbon Metabolism
PGMT	phosphoglucomutase	-1000.0	1.0 g1p_c <=> 1.0 g6p_c	(SAP1_RS04495)	Alternate Carbon Metabolism
PMANM	phosphomannomutase	-1000.0	1.0 man1p_c <=> 1.0 man6p_c	(SAP1_RS26105 or SAP1_RS26050 or SAP1_RS35945 or SAP1_RS05585)	Alternate Carbon Metabolism
PPAKr	Propionate kinase	-1000.0	1.0 adp_c + 1.0 ppap_c <=> 1.0 ppa_c + 1.0 atp_c	(SAP1_RS14740)	Alternate Carbon Metabolism
PPM	phosphopentomutase	-1000.0	1.0 r1p_c <=> 1.0 r5p_c	(SAP1_RS04495)	Alternate Carbon Metabolism
PPM2	phosphopentomutase 2 (deoxyribose)	-1000.0	1.0 2dr1p_c <=> 1.0 2dr5p_c	(SAP1_RS04495)	Alternate Carbon Metabolism
PTA2	Phosphate acetyltransferase	0.0	1.0 pi_c + 1.0 ppcoa_c -> 1.0 coa_c + 1.0 ppap_c	(SAP1_RS14735)	Alternate Carbon Metabolism
RAFGH	raffinose galactohydrolase	0.0	1.0 raffin_c + 1.0 h2o_c -> 1.0 sucr_c + 1.0 gal_c	(SCO0274 or SAP1_RS09290)	Alternate Carbon Metabolism
RBK	ribokinase	0.0	1.0 rib_DASH_D_c + 1.0 atp_c -> 1.0 r5p_c + 1.0 h_c + 1.0 adp_c	(SAP1_RS27510)	Alternate Carbon Metabolism
REPHACCOAI	ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	-1000.0	1.0 rephaccoa_c <=> 1.0 2oxpaccoa_c	(SAP1_RS16230)	Alternate Carbon Metabolism
RMK	rhamnulokinase	0.0	1.0 rml_c + 1.0 atp_c -> 1.0 h_c + 1.0 adp_c + 1.0 rml1p_c	(SAP1_RS38160)	Alternate Carbon Metabolism
SBTO	D-sorbitol oxidase	0.0	1.0 o2_c + 1.0 sbt_DASH_D_c -> 1.0 h2o2_c + 1.0 fru_c	(SAP1_RS11025)	Alternate Carbon Metabolism
SUCR	sucrose hydrolyzing enzyme	0.0	1.0 h2o_c + 1.0 sucr_c -> 1.0 glc_DASH_D_c + 1.0 fru_c	(SAP1_RS13445 or SAP1_RS35890 or SAP1_RS38075 or SAP1_RS14635 or SAP1_RS07035 or SAP1_RS30890 or SAP1_RS32535 or SAP1_RS09140)	Alternate Carbon Metabolism
TAUDO	Taurine dioxygenase	0.0	1.0 akg_c + 1.0 o2_c + 1.0 taur_c -> 1.0 co2_c + 1.0 succ_c + 1.0 so3_c + 1.0 aacald_c + 1.0 h_c	(SAP1_RS06080 or SAP1_RS28015)	Alternate Carbon Metabolism
TGBPA	Tagatose-bisphosphate aldolase	-1000.0	1.0 tagdp_DASH_D_c <=> 1.0 dhap_c + 1.0 g3p_c	((SCO5848 and SAP1_RS07720))	Alternate Carbon Metabolism
